Utah,Golden State,time_rem
28-10,20-19,48M 0S
0,0,47M 41S
0,2,46M 53S
2,2,46M 44S
2,4,45M 37S
2,6,45M 16S
5,6,45M 1S
5,9,44M 33S
8,9,43M 18S
11,9,42M 59S
11,12,42M 42S
11,13,42M 42S
11,15,42M 10S
11,17,41M 25S
11,19,41M 7S
11,22,40M 25S
11,24,40M 1S
14,24,39M 21S
16,24,38M 48S
16,26,38M 23S
16,29,38M 2S
17,29,37M 51S
18,29,37M 51S
18,31,37M 40S
20,31,37M 26S
20,33,37M 14S
22,33,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,33,35M 39S
27,33,35M 14S
28,33,34M 17S
29,33,34M 17S
29,35,34M 2S
31,35,33M 40S
33,35,33M 19S
34,35,33M 19S
34,37,32M 59S
34,40,32M 34S
36,40,32M 13S
36,42,32M 4S
37,42,31M 48S
39,42,31M 17S
39,45,30M 39S
39,47,30M 6S
42,47,29M 45S
42,50,29M 9S
45,50,28M 43S
45,52,28M 20S
45,55,27M 23S
46,55,27M 15S
47,55,27M 15S
47,57,26M 38S
49,57,26M 23S
52,57,25M 47S
52,59,25M 32S
53,59,25M 23S
53,62,25M 12S
53,64,24M 39S
53,65,24M 39S
54,65,24M 10S
54,67,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,69,23M 7S
56,69,22M 50S
58,69,22M 26S
58,72,22M 20S
59,72,21M 57S
60,72,21M 57S
63,72,21M 24S
63,73,21M 15S
63,74,21M 15S
65,74,21M 8S
65,77,20M 55S
66,77,20M 39S
67,77,20M 39S
69,77,20M 6S
69,78,19M 47S
69,79,19M 47S
72,79,19M 38S
72,80,19M 30S
74,80,19M 17S
Jump ball: J. Wiseman vs. D. Favors (D. Green gains possession),NA,18M 34S
74,82,18M 21S
74,84,18M 2S
76,84,17M 47S
77,84,16M 47S
78,84,16M 47S
78,87,16M 36S
78,89,16M 3S
79,89,15M 53S
80,89,15M 53S
83,89,15M 10S
83,91,14M 56S
83,93,14M 29S
83,95,14M 0S
84,95,13M 48S
86,95,13M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,95,11M 35S
90,95,11M 8S
92,95,10M 39S
92,97,10M 4S
95,97,9M 39S
95,99,9M 0S
98,99,8M 43S
98,101,8M 19S
100,101,8M 3S
100,103,7M 50S
102,103,7M 36S
102,105,7M 6S
102,107,6M 42S
104,107,6M 20S
104,108,6M 10S
104,109,6M 10S
104,110,6M 10S
104,112,5M 40S
106,112,4M 57S
106,115,4M 42S
109,115,4M 25S
109,118,4M 5S
111,118,3M 41S
111,121,3M 25S
113,121,2M 42S
113,124,1M 17S
116,124,1M 8S
116,126,52S
117,126,44S
118,126,44S
118,127,31S
119,127,29S
119,128,24S
119,129,24S
119,130,2S
119,131,2S
End of 4th quarter,NA,0S
