Minnesota,Portland,time_rem
2-6,4-4,48M 0S
0,0,47M 43S
2,0,47M 24S
2,2,47M 1S
Jump ball: D. Lillard vs. D. Russell (D. Lillard gains possession),NA,46M 34S
5,2,46M 21S
5,3,45M 30S
5,4,45M 30S
8,4,44M 29S
8,5,44M 9S
8,6,44M 9S
10,6,43M 56S
11,6,43M 27S
12,6,43M 27S
12,8,43M 13S
12,10,42M 35S
14,10,42M 13S
14,11,41M 39S
14,12,40M 54S
14,14,40M 38S
17,14,40M 28S
17,16,40M 12S
20,16,39M 58S
20,19,39M 41S
20,21,39M 15S
22,21,38M 41S
24,21,38M 23S
24,23,38M 5S
26,23,37M 47S
26,25,37M 9S
26,26,37M 9S
29,26,36M 44S
29,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,30,35M 20S
29,33,35M 0S
29,36,34M 33S
30,36,34M 12S
32,36,33M 42S
32,37,33M 25S
34,37,33M 13S
34,39,32M 58S
36,39,32M 39S
36,41,32M 17S
36,43,31M 47S
36,46,31M 26S
36,49,30M 42S
36,50,30M 10S
36,51,30M 10S
36,54,29M 51S
39,54,28M 53S
39,56,28M 42S
42,56,28M 20S
42,58,28M 3S
45,58,27M 50S
45,60,27M 37S
45,63,27M 15S
47,63,27M 4S
47,66,26M 26S
47,68,25M 56S
48,68,25M 37S
49,68,25M 37S
52,68,25M 16S
52,70,24M 59S
53,70,24M 46S
54,70,24M 46S
54,72,24M 28S
56,72,24M 9S
56,75,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,77,23M 35S
58,77,23M 13S
59,77,22M 57S
60,77,22M 57S
60,78,22M 13S
60,79,22M 13S
61,79,22M 2S
61,82,21M 50S
61,85,20M 59S
63,85,20M 41S
64,85,20M 21S
65,85,20M 21S
65,88,19M 56S
65,90,19M 15S
65,92,18M 35S
65,95,18M 2S
66,95,17M 45S
67,95,17M 45S
67,97,17M 6S
67,98,16M 41S
67,99,16M 41S
68,99,15M 31S
69,99,15M 31S
69,101,15M 14S
71,101,14M 58S
73,101,14M 45S
75,101,14M 23S
76,101,14M 5S
77,101,14M 5S
77,103,13M 50S
80,103,13M 39S
80,106,13M 13S
80,109,12M 44S
80,111,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,113,11M 43S
82,113,11M 26S
84,113,10M 51S
85,113,10M 51S
85,114,10M 17S
85,115,10M 17S
88,115,9M 33S
91,115,8M 18S
93,115,7M 43S
94,115,7M 20S
95,115,7M 20S
97,115,6M 49S
97,116,6M 34S
98,116,6M 24S
100,116,6M 10S
100,118,5M 55S
100,121,5M 35S
102,121,5M 13S
103,121,4M 46S
103,123,4M 34S
105,123,4M 19S
105,125,3M 45S
107,125,3M 17S
109,125,2M 44S
109,126,2M 33S
109,127,2M 33S
109,130,1M 30S
112,130,1M 17S
112,133,1M 2S
115,133,45S
115,135,35S
116,135,19S
117,135,0S
End of 4th quarter,NA,0S
