Golden State,Cleveland,time_rem
28-28,20-35,48M 0S
0,0,47M 42S
0,2,47M 17S
0,4,46M 56S
0,6,46M 34S
2,6,45M 51S
2,8,45M 25S
4,8,45M 12S
4,10,44M 48S
6,10,44M 28S
6,12,44M 16S
6,13,44M 16S
6,15,43M 52S
6,17,43M 11S
9,17,43M 0S
12,17,42M 37S
12,18,42M 13S
12,19,42M 13S
14,19,41M 56S
14,21,41M 41S
14,23,40M 57S
16,23,40M 49S
18,23,39M 36S
18,26,39M 16S
20,26,38M 25S
21,26,38M 25S
21,28,38M 8S
24,28,37M 33S
25,28,36M 55S
26,28,36M 55S
26,30,36M 42S
28,30,36M 32S
28,31,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,31,35M 39S
32,31,34M 50S
35,31,34M 6S
35,34,33M 38S
37,34,33M 30S
37,35,33M 12S
37,36,33M 12S
40,36,33M 1S
42,36,32M 33S
45,36,32M 0S
47,36,31M 29S
47,38,31M 11S
49,38,30M 52S
49,39,29M 54S
51,39,29M 31S
53,39,28M 56S
55,39,28M 35S
56,39,28M 35S
56,41,27M 54S
59,41,27M 41S
59,44,27M 22S
59,46,26M 42S
61,46,26M 3S
61,49,25M 54S
63,49,25M 45S
63,52,25M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,52,22M 59S
67,52,22M 36S
67,55,22M 21S
67,57,21M 43S
70,57,20M 17S
70,59,19M 15S
73,59,19M 1S
73,61,18M 41S
75,61,17M 58S
75,64,17M 36S
75,66,17M 13S
75,69,16M 46S
75,71,16M 0S
76,71,15M 52S
77,71,15M 52S
77,72,15M 36S
77,73,15M 36S
79,73,15M 28S
79,74,15M 18S
79,75,15M 18S
81,75,14M 54S
81,77,13M 55S
82,77,13M 44S
83,77,13M 44S
86,77,13M 34S
86,79,13M 14S
89,79,13M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,82,11M 34S
91,82,11M 2S
91,83,10M 48S
91,84,10M 48S
93,84,10M 12S
96,84,9M 40S
98,84,8M 9S
98,85,7M 26S
98,86,7M 26S
101,86,7M 15S
101,88,6M 50S
101,89,5M 30S
103,89,5M 8S
103,92,4M 51S
103,94,4M 31S
106,94,3M 28S
109,94,3M 7S
112,94,2M 21S
112,95,2M 11S
114,95,1M 45S
117,95,1M 20S
117,96,1M 18S
117,98,42S
117,99,42S
119,99,27S
119,100,10S
119,101,10S
End of 4th quarter,NA,0S
