Philadelphia,Detroit,time_rem
12-5,3-13,48M 0S
2,0,47M 40S
4,0,47M 10S
4,3,46M 48S
6,3,46M 32S
6,6,46M 15S
8,6,45M 57S
9,6,45M 44S
10,6,45M 44S
10,7,45M 34S
12,7,45M 10S
12,8,44M 57S
12,9,44M 57S
12,11,44M 23S
12,14,43M 37S
14,14,43M 12S
14,16,43M 1S
16,16,42M 45S
18,16,42M 14S
18,18,41M 59S
18,20,41M 12S
20,20,40M 31S
22,20,40M 9S
24,20,39M 38S
24,23,39M 26S
24,26,39M 6S
26,26,38M 51S
26,28,37M 59S
28,28,37M 44S
28,31,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,33,35M 18S
28,35,34M 55S
28,37,34M 26S
28,38,33M 46S
28,39,33M 46S
30,39,33M 37S
30,41,33M 19S
31,41,33M 1S
32,41,33M 1S
33,41,32M 35S
34,41,32M 35S
36,41,32M 18S
36,44,31M 58S
36,45,31M 16S
36,47,30M 38S
38,47,30M 23S
40,47,29M 51S
40,48,29M 39S
42,48,29M 25S
43,48,29M 25S
43,49,29M 17S
44,49,28M 59S
44,52,28M 43S
47,52,28M 33S
47,55,28M 8S
49,55,27M 58S
50,55,27M 31S
51,55,27M 31S
52,55,27M 16S
52,56,27M 4S
52,57,27M 4S
53,57,26M 50S
56,57,26M 22S
57,57,25M 39S
57,59,25M 27S
59,59,25M 0S
61,59,24M 30S
61,60,24M 20S
61,61,24M 20S
61,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,65,23M 12S
62,65,22M 59S
63,65,22M 59S
63,68,22M 19S
66,68,21M 13S
68,68,20M 18S
Jump ball: B. Simmons vs. J. Grant (S. Milton gains possession),NA,19M 52S
68,70,19M 17S
70,70,18M 51S
73,70,18M 16S
74,70,17M 33S
75,70,17M 33S
75,72,17M 9S
77,72,16M 35S
80,72,16M 9S
80,74,15M 53S
80,76,15M 9S
80,77,15M 6S
80,78,15M 6S
80,79,15M 6S
81,79,14M 57S
82,79,14M 56S
85,79,14M 13S
85,82,14M 1S
85,85,13M 38S
87,85,13M 22S
87,86,13M 16S
87,87,13M 16S
88,87,13M 0S
89,87,13M 0S
89,88,12M 51S
91,88,12M 39S
92,88,12M 39S
94,88,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,88,11M 29S
99,88,10M 42S
99,91,10M 18S
99,93,8M 57S
99,95,7M 45S
100,95,7M 27S
101,95,7M 27S
101,96,6M 54S
101,97,6M 54S
103,97,5M 58S
104,97,5M 7S
104,99,4M 15S
104,101,3M 55S
107,101,3M 22S
107,103,2M 49S
107,104,2M 30S
107,105,2M 30S
109,105,2M 8S
110,105,31S
110,108,28S
111,108,21S
112,108,21S
112,110,9S
113,110,7S
114,110,7S
End of 4th quarter,NA,0S
