Washington,Philadelphia,time_rem
0-2,2-0,48M 0S
0,2,47M 40S
2,2,47M 28S
2,4,47M 2S
2,6,46M 46S
4,6,46M 30S
4,8,46M 8S
6,8,45M 35S
6,11,45M 19S
7,11,44M 53S
8,11,44M 53S
10,11,44M 25S
12,11,43M 55S
12,13,43M 33S
14,13,43M 13S
14,15,42M 52S
14,17,42M 35S
14,19,42M 6S
16,19,41M 49S
16,21,41M 37S
16,23,40M 25S
18,23,40M 13S
18,25,39M 32S
20,25,39M 23S
20,27,38M 55S
20,29,38M 37S
21,29,38M 31S
21,32,37M 20S
23,32,37M 6S
23,33,36M 53S
23,35,36M 9S
24,35,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,37,35M 20S
26,37,35M 3S
28,37,34M 30S
30,37,34M 5S
31,37,33M 45S
31,39,33M 22S
33,39,33M 20S
35,39,32M 46S
35,41,32M 30S
35,44,31M 48S
35,46,31M 19S
38,46,31M 7S
40,46,30M 28S
42,46,29M 55S
42,48,29M 49S
44,48,29M 40S
46,48,29M 20S
46,51,29M 4S
46,53,28M 46S
47,53,28M 30S
47,55,28M 7S
49,55,27M 58S
51,55,27M 37S
51,57,27M 14S
53,57,27M 0S
53,59,26M 33S
54,59,26M 16S
54,61,26M 2S
55,61,25M 51S
55,63,25M 41S
57,63,25M 28S
57,66,25M 4S
57,68,24M 41S
57,69,24M 41S
57,70,24M 17S
57,71,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,71,23M 50S
59,73,22M 57S
59,76,22M 0S
60,76,21M 41S
61,76,21M 41S
61,78,20M 50S
61,79,20M 22S
61,80,20M 22S
63,80,20M 8S
65,80,19M 38S
65,82,19M 24S
65,85,18M 58S
67,85,18M 45S
67,87,18M 28S
68,87,18M 9S
70,87,17M 54S
70,90,17M 34S
73,90,16M 56S
75,90,16M 21S
75,92,15M 39S
76,92,14M 23S
78,92,13M 50S
78,94,13M 33S
79,94,12M 17S
80,94,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,94,11M 46S
81,95,11M 46S
81,97,11M 16S
81,98,11M 16S
81,99,10M 1S
81,101,9M 34S
83,101,9M 23S
83,103,9M 6S
83,105,8M 19S
83,107,7M 59S
85,107,7M 40S
85,108,6M 55S
87,108,6M 32S
87,110,6M 14S
89,110,4M 56S
89,112,4M 39S
90,112,4M 29S
91,112,4M 29S
91,115,4M 16S
91,116,3M 45S
91,117,3M 45S
91,118,3M 45S
93,118,2M 27S
93,120,1M 9S
94,120,51S
95,120,51S
End of 4th quarter,NA,0S
