Toronto,Chicago,time_rem
27-43,30-40,48M 0S
0,0,47M 46S
2,0,47M 9S
4,0,46M 46S
4,2,46M 9S
6,2,45M 45S
9,2,45M 20S
9,4,44M 35S
9,5,44M 12S
9,8,43M 44S
9,11,43M 19S
11,11,42M 57S
13,11,41M 46S
13,14,41M 32S
15,14,41M 11S
18,14,40M 45S
18,16,40M 22S
18,18,39M 48S
20,18,39M 27S
20,20,39M 8S
20,23,38M 21S
20,25,37M 46S
22,25,37M 33S
24,25,37M 1S
24,28,36M 39S
24,30,36M 11S
27,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,32,35M 33S
29,32,35M 16S
29,35,34M 51S
31,35,34M 14S
31,38,34M 5S
31,40,33M 44S
31,42,33M 13S
34,42,32M 51S
34,45,32M 38S
36,45,32M 27S
37,45,32M 27S
37,48,32M 19S
39,48,32M 1S
39,50,31M 28S
39,52,31M 2S
39,55,30M 40S
39,57,30M 10S
40,57,29M 27S
41,57,29M 27S
41,59,29M 3S
42,59,28M 53S
43,59,28M 29S
44,59,28M 29S
44,62,28M 18S
46,62,26M 29S
46,63,25M 48S
47,63,25M 38S
47,65,25M 19S
47,66,25M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,66,23M 44S
49,68,23M 9S
49,71,22M 40S
49,73,21M 42S
51,73,21M 16S
51,75,20M 58S
54,75,20M 43S
56,75,20M 17S
59,75,19M 53S
59,77,18M 52S
61,77,18M 34S
62,77,18M 10S
62,80,17M 47S
62,81,17M 33S
62,82,17M 33S
62,84,17M 13S
64,84,15M 48S
67,84,14M 56S
67,85,14M 44S
67,86,14M 44S
69,86,14M 34S
70,86,14M 34S
72,86,14M 17S
72,88,13M 56S
74,88,13M 43S
76,88,13M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,90,11M 23S
76,93,10M 55S
79,93,10M 28S
81,93,10M 7S
81,95,9M 56S
81,97,9M 36S
83,97,9M 22S
85,97,8M 33S
85,99,7M 39S
87,99,6M 57S
87,102,6M 40S
90,102,6M 23S
93,102,5M 58S
93,105,5M 40S
93,107,4M 53S
94,107,4M 33S
94,109,4M 12S
97,109,3M 58S
97,112,1M 32S
100,112,1M 21S
100,114,1M 4S
102,114,22S
End of 4th quarter,NA,0S
