Atlanta,Washington,time_rem
10-9,3-12,48M 0S
0,0,47M 43S
0,1,47M 17S
0,2,47M 17S
3,2,46M 54S
5,2,46M 23S
6,2,45M 24S
7,2,45M 24S
7,4,44M 44S
7,5,44M 44S
9,5,44M 3S
10,5,44M 3S
10,7,43M 52S
10,9,43M 30S
11,9,43M 20S
12,9,43M 20S
13,9,43M 20S
13,11,41M 44S
15,11,41M 23S
15,13,41M 1S
15,14,40M 0S
15,15,40M 0S
16,15,39M 43S
16,17,39M 12S
18,17,38M 52S
20,17,37M 51S
23,17,37M 15S
23,20,37M 3S
26,20,36M 53S
27,20,36M 31S
28,20,36M 31S
28,22,36M 21S
31,22,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,24,35M 4S
31,26,34M 43S
31,27,34M 12S
33,27,33M 32S
33,30,33M 10S
36,30,32M 25S
38,30,31M 50S
40,30,31M 38S
40,33,31M 22S
42,33,31M 13S
42,35,30M 3S
43,35,29M 41S
44,35,29M 41S
44,37,29M 21S
46,37,29M 1S
48,37,28M 25S
48,39,28M 5S
49,39,27M 49S
49,41,27M 29S
49,43,27M 5S
52,43,26M 22S
52,45,25M 58S
54,45,25M 43S
55,45,25M 18S
56,45,25M 18S
58,45,25M 2S
58,47,24M 42S
58,48,24M 31S
58,49,24M 4S
58,50,24M 4S
61,50,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,50,23M 46S
66,50,23M 14S
66,53,21M 34S
69,53,21M 11S
70,53,20M 41S
70,55,20M 1S
72,55,19M 48S
72,56,19M 37S
74,56,19M 22S
75,56,18M 59S
75,58,18M 46S
77,58,18M 20S
77,60,18M 12S
79,60,17M 47S
80,60,17M 33S
81,60,17M 33S
81,61,17M 33S
82,61,17M 24S
83,61,17M 24S
84,61,15M 34S
84,62,15M 24S
84,63,15M 24S
84,64,14M 11S
86,64,13M 51S
86,66,13M 42S
86,67,13M 8S
86,68,13M 8S
88,68,12M 34S
89,68,12M 34S
89,71,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,71,11M 28S
92,71,10M 47S
92,74,10M 19S
92,75,9M 54S
92,76,9M 54S
92,77,9M 54S
94,77,9M 24S
94,78,8M 35S
96,78,8M 12S
96,80,7M 34S
96,81,7M 34S
99,81,7M 17S
100,81,7M 17S
102,81,6M 55S
102,84,6M 41S
102,85,6M 12S
102,86,6M 12S
102,88,5M 39S
102,89,5M 39S
102,90,5M 8S
102,91,5M 8S
102,92,5M 8S
105,92,4M 53S
105,93,4M 38S
105,94,4M 38S
108,94,4M 24S
108,96,4M 8S
110,96,3M 45S
112,96,3M 11S
112,98,3M 2S
114,98,2M 18S
115,98,1M 1S
116,98,1M 1S
116,99,57S
116,100,57S
End of 4th quarter,NA,0S
