Phoenix,Chicago,time_rem
21-11,15-17,48M 0S
0,0,47M 40S
2,0,47M 6S
4,0,46M 16S
4,2,46M 1S
6,2,45M 48S
6,4,45M 31S
8,4,44M 24S
10,4,44M 7S
12,4,43M 5S
12,6,42M 50S
14,6,42M 28S
14,9,41M 53S
17,9,41M 35S
17,11,41M 20S
19,11,41M 5S
20,11,41M 5S
22,11,40M 14S
22,14,39M 56S
24,14,39M 41S
24,16,39M 0S
24,18,38M 28S
24,21,37M 58S
26,21,37M 38S
26,23,37M 23S
26,25,36M 9S
26,26,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,26,35M 26S
28,28,35M 11S
30,28,34M 52S
30,30,33M 47S
32,30,33M 21S
32,32,32M 59S
34,32,32M 46S
36,32,32M 18S
36,34,31M 31S
38,34,31M 17S
38,36,31M 5S
40,36,30M 46S
40,39,29M 59S
42,39,29M 12S
42,41,28M 47S
42,43,28M 14S
42,46,27M 44S
42,48,27M 5S
43,48,26M 52S
44,48,26M 52S
45,48,26M 22S
46,48,26M 22S
46,50,26M 12S
46,53,25M 43S
46,55,25M 15S
46,58,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,59,23M 45S
46,60,23M 45S
48,60,23M 30S
48,62,22M 52S
48,64,22M 33S
50,64,22M 19S
53,64,21M 34S
53,66,20M 35S
55,66,20M 31S
56,66,20M 4S
57,66,20M 4S
59,66,19M 37S
61,66,19M 4S
Jump ball: L. Kornet vs. D. Ayton (Z. LaVine gains possession),NA,18M 21S
61,69,17M 56S
63,69,17M 14S
63,72,16M 40S
63,75,15M 59S
63,77,15M 14S
65,77,14M 55S
68,77,14M 29S
70,77,13M 56S
71,77,13M 56S
74,77,13M 6S
74,79,12M 50S
74,81,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,81,11M 34S
78,81,10M 27S
80,81,9M 59S
80,82,9M 45S
80,84,8M 59S
80,87,8M 12S
82,87,7M 55S
83,87,7M 55S
85,87,6M 54S
87,87,6M 39S
89,87,6M 18S
89,89,5M 48S
91,89,5M 44S
91,92,5M 15S
93,92,4M 59S
96,92,4M 36S
98,92,4M 4S
101,92,3M 19S
101,93,2M 21S
103,93,2M 1S
104,93,1M 48S
105,93,1M 18S
106,93,1M 18S
106,94,1M 2S
106,95,1M 2S
106,97,33S
End of 4th quarter,NA,0S
