Dallas,Atlanta,time_rem
9-13,10-11,48M 0S
2,0,47M 46S
2,2,47M 22S
3,2,47M 8S
4,2,47M 8S
4,4,46M 19S
5,4,45M 47S
6,4,45M 47S
9,4,45M 25S
11,4,45M 1S
13,4,43M 37S
13,6,43M 6S
13,7,43M 6S
13,10,42M 13S
15,10,41M 6S
15,12,39M 58S
15,15,38M 57S
16,15,38M 48S
17,15,38M 48S
17,17,37M 41S
19,17,37M 26S
21,17,37M 12S
21,18,36M 46S
21,19,36M 46S
23,19,36M 38S
23,20,36M 24S
23,21,36M 24S
23,22,36M 24S
26,22,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,24,35M 25S
27,24,35M 9S
28,24,35M 9S
28,26,34M 50S
31,26,34M 27S
31,28,34M 12S
31,31,33M 0S
33,31,32M 42S
33,33,32M 23S
33,35,31M 54S
35,35,31M 32S
35,37,31M 9S
37,37,30M 53S
39,37,29M 50S
39,39,29M 33S
39,42,29M 5S
41,42,28M 48S
41,44,28M 26S
41,45,28M 14S
42,45,28M 1S
43,45,28M 1S
45,45,27M 24S
45,47,26M 49S
45,50,26M 19S
48,50,26M 0S
48,52,25M 34S
48,54,24M 37S
50,54,24M 31S
50,56,24M 12S
53,56,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,59,23M 39S
55,59,22M 26S
57,59,21M 22S
59,59,21M 2S
61,59,19M 59S
61,61,19M 44S
64,61,19M 28S
65,61,19M 10S
66,61,18M 39S
66,64,18M 15S
69,64,17M 44S
69,67,17M 30S
70,67,17M 20S
71,67,17M 20S
71,68,17M 2S
71,69,17M 2S
71,72,16M 36S
72,72,16M 17S
73,72,16M 17S
73,73,15M 37S
73,74,15M 37S
76,74,15M 24S
76,76,15M 5S
76,78,14M 43S
79,78,14M 12S
81,78,13M 18S
81,81,13M 3S
84,81,12M 46S
84,83,12M 38S
85,83,12M 35S
86,83,12M 35S
88,83,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,85,11M 32S
90,85,11M 15S
93,85,10M 53S
Jump ball: J. Collins vs. J. Richardson (R. Rondo gains possession),NA,10M 27S
95,85,10M 14S
95,87,9M 31S
97,87,9M 22S
97,88,8M 40S
99,88,8M 15S
99,91,7M 57S
101,91,7M 40S
103,91,6M 59S
105,91,5M 37S
105,94,5M 26S
108,94,5M 12S
108,96,4M 36S
111,96,3M 47S
111,99,3M 28S
111,101,2M 58S
111,103,2M 37S
113,103,2M 18S
113,105,1M 57S
113,107,1M 15S
115,107,57S
115,109,50S
115,112,42S
117,112,31S
117,114,25S
118,114,19S
119,114,19S
119,116,15S
120,116,12S
121,116,3S
122,116,3S
End of 4th quarter,NA,0S
