Brooklyn,Indiana,time_rem
43-20,29-33,48M 0S
0,0,47M 45S
2,0,47M 11S
4,0,46M 49S
4,2,46M 34S
5,2,46M 24S
5,5,46M 3S
5,7,45M 21S
5,8,45M 21S
8,8,45M 4S
10,8,44M 27S
12,8,43M 53S
12,9,43M 46S
13,9,43M 30S
14,9,43M 30S
14,12,43M 11S
16,12,42M 55S
17,12,42M 55S
17,15,42M 42S
19,15,42M 19S
20,15,42M 19S
20,16,41M 42S
20,17,41M 42S
20,20,41M 26S
22,20,40M 41S
23,20,40M 41S
25,20,39M 59S
26,20,39M 19S
27,20,39M 19S
29,20,38M 56S
29,22,38M 42S
31,22,38M 3S
31,23,37M 52S
31,24,37M 52S
33,24,36M 53S
33,26,36M 42S
33,28,36M 27S
34,28,36M 20S
35,28,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,30,35M 50S
38,30,35M 27S
39,30,35M 6S
41,30,34M 25S
44,30,33M 22S
46,30,32M 46S
46,31,32M 30S
46,32,32M 30S
48,32,32M 16S
49,32,31M 59S
49,34,31M 50S
51,34,31M 36S
51,36,31M 26S
53,36,30M 38S
53,39,30M 29S
53,40,29M 59S
53,41,29M 59S
55,41,29M 32S
57,41,29M 2S
58,41,28M 37S
59,41,28M 37S
59,43,28M 24S
62,43,27M 29S
62,45,27M 17S
62,48,26M 48S
64,48,26M 34S
65,48,25M 59S
66,48,25M 59S
66,50,25M 23S
66,51,24M 46S
66,52,24M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,55,23M 47S
66,57,23M 10S
68,57,23M 0S
68,59,22M 43S
71,59,22M 28S
74,59,22M 11S
75,59,21M 52S
76,59,21M 52S
77,59,21M 52S
80,59,21M 34S
80,61,21M 25S
80,63,20M 32S
83,63,20M 14S
84,63,19M 50S
86,63,19M 15S
86,65,19M 8S
86,66,19M 8S
88,66,18M 52S
88,68,18M 41S
88,69,18M 41S
88,71,17M 51S
91,71,17M 33S
91,73,17M 14S
94,73,17M 2S
94,76,16M 40S
96,76,16M 26S
96,78,16M 13S
96,79,16M 13S
98,79,15M 58S
99,79,15M 58S
99,81,15M 49S
101,81,15M 33S
101,83,15M 20S
104,83,15M 5S
104,86,14M 53S
106,86,14M 31S
106,88,14M 18S
108,88,14M 1S
110,88,13M 2S
110,91,12M 53S
110,93,12M 35S
111,93,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
111,94,11M 30S
111,95,11M 30S
111,97,10M 48S
111,99,9M 19S
111,100,9M 19S
111,102,8M 59S
112,102,7M 50S
113,102,7M 50S
113,104,7M 31S
113,106,7M 8S
115,106,6M 28S
117,106,5M 12S
117,109,5M 4S
119,109,4M 41S
121,109,4M 23S
121,110,3M 58S
121,111,3M 58S
121,113,3M 27S
123,113,2M 26S
125,113,2M 2S
128,113,1M 27S
130,113,47S
End of 4th quarter,NA,0S
