Portland,Cleveland,time_rem
37-29,21-45,48M 0S
0,3,47M 43S
0,5,47M 16S
1,5,47M 5S
3,5,46M 12S
3,7,45M 38S
6,7,45M 28S
6,9,44M 58S
8,9,44M 39S
9,9,44M 21S
11,9,43M 52S
11,11,43M 11S
14,11,43M 0S
14,14,41M 52S
17,14,41M 35S
17,16,41M 27S
17,18,40M 15S
17,20,39M 37S
20,20,39M 18S
20,22,38M 56S
21,22,38M 20S
22,22,38M 20S
22,24,38M 6S
24,24,37M 3S
24,26,36M 46S
27,26,36M 32S
27,28,36M 7S
29,28,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,28,35M 41S
34,28,35M 10S
34,31,34M 50S
35,31,34M 38S
36,31,34M 38S
36,33,34M 17S
38,33,34M 1S
38,35,33M 50S
40,35,33M 33S
41,35,33M 33S
43,35,32M 59S
44,35,32M 59S
44,38,32M 48S
46,38,32M 30S
46,41,32M 22S
48,41,31M 58S
49,41,31M 58S
51,41,31M 33S
51,42,31M 19S
53,42,31M 7S
55,42,30M 46S
55,45,30M 23S
55,48,29M 22S
58,48,29M 8S
58,50,28M 35S
59,50,28M 20S
60,50,28M 20S
60,52,27M 57S
62,52,27M 43S
62,55,27M 19S
64,55,26M 53S
64,56,26M 10S
64,57,26M 10S
67,57,25M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,58,23M 41S
70,58,23M 25S
70,59,22M 19S
70,60,22M 19S
72,60,22M 8S
73,60,21M 43S
73,61,21M 18S
76,61,20M 59S
76,63,20M 32S
79,63,20M 7S
79,66,19M 44S
80,66,19M 7S
81,66,19M 7S
81,67,18M 47S
81,68,18M 47S
83,68,18M 26S
83,70,18M 14S
85,70,17M 51S
87,70,17M 22S
87,71,16M 52S
87,72,16M 52S
87,73,16M 33S
87,75,15M 56S
87,77,15M 31S
90,77,15M 13S
90,79,14M 24S
90,80,14M 24S
93,80,14M 10S
95,80,13M 39S
97,80,13M 13S
98,80,12M 35S
99,80,12M 35S
102,80,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,81,11M 41S
102,82,11M 41S
104,82,11M 12S
104,85,10M 54S
106,85,10M 36S
108,85,10M 13S
110,85,9M 47S
113,85,9M 24S
113,87,9M 1S
113,89,8M 36S
115,89,8M 11S
117,89,7M 36S
117,92,7M 9S
119,92,6M 46S
122,92,6M 20S
123,92,6M 1S
123,95,5M 30S
125,95,4M 59S
127,95,4M 26S
127,97,4M 15S
129,97,3M 49S
131,97,3M 26S
133,97,3M 10S
133,99,2M 45S
133,102,2M 10S
135,102,1M 58S
136,102,1M 41S
137,102,1M 41S
137,103,1M 25S
139,103,1M 12S
139,104,45S
139,105,45S
141,105,18S
End of 4th quarter,NA,0S
