Boston,Brooklyn,time_rem
1-4,4-1,48M 0S
0,0,47M 43S
2,0,47M 18S
2,2,46M 55S
4,2,46M 43S
6,2,46M 13S
8,2,45M 35S
8,4,45M 24S
8,6,44M 41S
8,8,43M 42S
11,8,43M 30S
11,10,43M 12S
12,10,42M 48S
13,10,42M 48S
13,12,42M 33S
16,12,42M 9S
16,13,41M 43S
16,14,41M 43S
16,15,41M 43S
16,17,41M 11S
19,17,40M 55S
19,19,40M 3S
21,19,39M 9S
21,22,38M 41S
21,24,38M 4S
21,26,37M 16S
21,27,36M 56S
21,28,36M 56S
23,28,36M 39S
24,28,36M 39S
24,31,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,33,35M 44S
26,33,35M 26S
28,33,34M 37S
30,33,33M 52S
30,36,33M 26S
30,38,32M 56S
33,38,32M 45S
36,38,32M 21S
36,39,31M 59S
36,40,31M 59S
37,40,31M 48S
38,40,31M 48S
38,43,31M 31S
40,43,31M 16S
40,46,30M 58S
42,46,29M 59S
42,49,29M 13S
42,51,28M 22S
44,51,28M 3S
47,51,27M 18S
47,54,26M 37S
49,54,26M 23S
49,56,25M 33S
49,57,25M 1S
50,57,24M 53S
51,57,24M 53S
51,58,24M 17S
51,59,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,59,23M 24S
54,60,22M 27S
54,61,22M 27S
54,63,21M 53S
54,64,21M 53S
54,66,21M 23S
56,66,21M 11S
56,68,20M 50S
57,68,20M 42S
58,68,20M 42S
58,71,20M 27S
59,71,20M 19S
59,73,20M 4S
61,73,19M 45S
61,74,19M 21S
61,75,19M 21S
63,75,18M 20S
64,75,17M 59S
65,75,17M 59S
68,75,17M 30S
68,77,17M 12S
70,77,16M 55S
70,78,16M 30S
70,79,16M 30S
73,79,15M 57S
73,80,15M 36S
73,82,14M 25S
75,82,13M 56S
75,83,13M 11S
75,84,13M 11S
75,86,12M 47S
76,86,12M 37S
77,86,12M 37S
79,86,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,87,11M 31S
79,90,10M 48S
81,90,10M 23S
81,92,10M 0S
81,94,9M 17S
84,94,9M 2S
84,96,8M 36S
84,97,8M 36S
86,97,8M 22S
88,97,7M 56S
89,97,7M 56S
89,100,7M 36S
89,103,7M 20S
91,103,7M 10S
91,106,6M 47S
91,108,6M 15S
93,108,6M 8S
93,110,5M 45S
95,110,5M 30S
95,112,5M 12S
96,112,4M 58S
Jump ball: K. Durant vs. T. Thompson (K. Irving gains possession),NA,4M 41S
96,114,4M 32S
96,117,3M 53S
98,117,3M 39S
98,120,3M 19S
101,120,3M 6S
103,120,2M 32S
105,120,2M 15S
107,120,1M 54S
107,123,1M 5S
108,123,58S
109,123,58S
End of 4th quarter,NA,0S
