Atlanta,Brooklyn,time_rem
3-1,3-2,48M 0S
0,3,47M 44S
2,3,47M 7S
3,3,46M 43S
3,4,46M 7S
5,4,45M 53S
8,4,45M 39S
10,4,45M 1S
10,6,44M 50S
12,6,44M 38S
15,6,43M 51S
15,9,43M 37S
15,11,42M 58S
17,11,42M 32S
17,12,42M 26S
17,13,42M 26S
19,13,42M 4S
19,16,41M 50S
21,16,41M 38S
21,18,41M 28S
24,18,40M 46S
24,20,40M 29S
26,20,40M 19S
26,23,39M 59S
27,23,39M 41S
28,23,39M 41S
28,25,39M 26S
30,25,39M 2S
30,27,38M 49S
32,27,38M 35S
33,27,38M 35S
33,29,38M 16S
36,29,38M 10S
38,29,37M 45S
38,31,37M 32S
38,33,37M 7S
38,35,36M 37S
41,35,36M 23S
41,37,36M 6S
41,38,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
44,38,35M 13S
44,40,34M 9S
47,40,33M 59S
47,43,33M 17S
47,46,32M 51S
47,48,32M 12S
48,48,32M 1S
48,51,31M 54S
51,51,31M 39S
53,51,31M 9S
53,53,30M 47S
53,56,30M 24S
54,56,30M 10S
55,56,30M 10S
57,56,29M 24S
57,58,29M 12S
59,58,28M 49S
62,58,27M 46S
62,60,27M 35S
64,60,27M 13S
64,63,27M 4S
66,63,26M 43S
66,65,26M 31S
67,65,26M 17S
68,65,26M 17S
68,67,26M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,67,23M 47S
70,67,23M 47S
70,69,23M 32S
72,69,23M 15S
72,71,22M 58S
74,71,22M 46S
74,73,22M 31S
74,76,21M 49S
77,76,21M 33S
80,76,21M 6S
82,76,20M 38S
82,79,20M 25S
84,79,19M 27S
84,81,18M 43S
86,81,18M 31S
86,83,18M 6S
87,83,17M 50S
88,83,17M 50S
89,83,17M 20S
89,84,17M 10S
89,85,16M 39S
89,86,16M 39S
91,86,15M 58S
91,89,15M 22S
91,92,14M 53S
94,92,14M 38S
94,94,14M 27S
97,94,14M 5S
100,94,13M 43S
100,95,13M 30S
103,95,13M 16S
103,97,13M 4S
103,100,12M 40S
104,100,12M 28S
104,102,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
104,105,11M 48S
107,105,11M 35S
107,107,11M 18S
109,107,10M 26S
110,107,9M 55S
111,107,9M 55S
111,108,9M 47S
111,109,9M 47S
111,110,9M 47S
113,110,9M 23S
113,112,9M 12S
113,113,8M 27S
113,115,8M 6S
116,115,7M 30S
116,118,7M 16S
117,118,7M 4S
118,118,7M 4S
118,120,6M 52S
119,120,6M 41S
120,120,6M 41S
120,123,6M 27S
121,123,6M 18S
122,123,6M 18S
122,125,6M 4S
124,125,5M 40S
124,127,5M 23S
125,127,5M 5S
126,127,5M 5S
126,130,4M 32S
127,130,4M 17S
128,130,4M 17S
128,132,4M 6S
130,132,3M 32S
130,133,3M 21S
130,134,3M 21S
132,134,2M 40S
132,137,2M 1S
134,137,1M 53S
135,137,45S
136,137,45S
136,139,32S
136,141,15S
139,141,8S
139,142,6S
139,143,6S
141,143,1S
141,144,0S
141,145,0S
End of 4th quarter,NA,0S
