Philadelphia,Chicago,time_rem
44-21,26-39,48M 0S
2,0,47M 37S
2,2,47M 12S
4,2,47M 0S
6,2,46M 43S
6,5,46M 30S
8,5,45M 59S
9,5,45M 59S
9,7,45M 40S
12,7,44M 45S
12,9,44M 31S
14,9,44M 22S
16,9,42M 39S
16,12,41M 38S
18,12,41M 24S
21,12,40M 53S
23,12,39M 42S
25,12,39M 6S
25,15,38M 45S
27,15,38M 19S
29,15,37M 55S
32,15,37M 39S
32,17,36M 30S
34,17,36M 19S
34,20,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,22,35M 46S
36,22,35M 26S
36,24,35M 15S
38,24,34M 55S
41,24,34M 24S
41,26,33M 35S
44,26,32M 47S
45,26,32M 18S
45,27,32M 2S
45,28,32M 2S
45,31,31M 32S
46,31,30M 3S
48,31,29M 6S
48,33,28M 47S
50,33,27M 46S
50,34,27M 34S
52,34,27M 19S
55,34,26M 49S
55,37,26M 29S
55,39,26M 8S
55,41,25M 2S
55,42,24M 51S
55,43,24M 51S
58,43,24M 42S
60,43,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,45,22M 24S
63,45,21M 56S
63,47,21M 40S
66,47,21M 21S
68,47,20M 52S
68,49,20M 39S
70,49,20M 13S
70,51,20M 2S
72,51,19M 43S
74,51,18M 29S
74,53,18M 14S
76,53,17M 27S
76,55,17M 1S
77,55,16M 17S
78,55,16M 17S
78,57,16M 0S
79,57,15M 16S
79,59,15M 3S
82,59,13M 33S
82,61,13M 13S
82,63,12M 48S
83,63,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,65,11M 29S
83,66,11M 29S
83,67,10M 51S
83,68,10M 51S
83,70,10M 35S
83,72,10M 15S
85,72,9M 54S
85,75,9M 32S
88,75,9M 16S
88,78,8M 56S
88,81,8M 17S
88,84,7M 35S
88,87,7M 1S
90,87,6M 38S
92,87,5M 56S
93,87,4M 59S
94,87,4M 59S
94,88,4M 48S
94,89,4M 48S
96,89,4M 22S
97,89,4M 1S
98,89,4M 1S
98,91,3M 39S
100,91,2M 12S
100,92,1M 52S
101,92,1M 41S
103,92,1M 2S
104,92,35S
105,92,35S
106,92,35S
106,94,29S
End of 4th quarter,NA,0S
