Philadelphia,San Antonio,time_rem
43-21,31-32,48M 0S
2,0,47M 43S
2,1,47M 31S
2,2,47M 31S
5,2,47M 19S
7,2,46M 19S
7,5,46M 9S
9,5,45M 54S
11,5,45M 14S
13,5,44M 12S
13,6,43M 58S
15,6,43M 43S
15,8,43M 25S
17,8,42M 19S
18,8,42M 19S
18,10,42M 5S
18,11,41M 47S
18,12,41M 47S
20,12,41M 32S
20,15,40M 55S
21,15,40M 24S
22,15,40M 24S
22,17,40M 8S
25,17,39M 58S
27,17,39M 17S
30,17,39M 7S
30,18,38M 50S
30,19,38M 50S
31,19,38M 29S
32,19,38M 29S
34,19,38M 7S
36,19,37M 19S
36,22,37M 12S
36,24,36M 54S
36,27,36M 28S
37,27,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,29,35M 24S
38,29,35M 12S
39,29,35M 12S
39,31,34M 34S
41,31,33M 59S
43,31,33M 35S
43,33,33M 14S
45,33,32M 26S
45,35,32M 9S
47,35,31M 49S
Jump ball: K. Johnson vs. G. Hill (T. Jones gains possession),NA,31M 30S
47,37,31M 25S
47,39,30M 51S
49,39,29M 36S
51,39,28M 54S
52,39,28M 29S
53,39,28M 29S
53,42,28M 18S
53,44,27M 56S
53,46,26M 46S
53,47,26M 46S
55,47,26M 29S
55,49,25M 46S
55,52,25M 15S
58,52,25M 4S
61,52,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,53,22M 50S
61,54,22M 50S
61,56,22M 27S
63,56,22M 8S
63,58,21M 51S
66,58,21M 35S
69,58,20M 57S
71,58,20M 37S
73,58,20M 1S
74,58,20M 1S
74,60,19M 43S
74,62,19M 13S
74,64,18M 15S
76,64,17M 53S
76,67,16M 50S
79,67,16M 26S
82,67,15M 51S
82,69,15M 36S
82,72,14M 58S
83,72,14M 4S
84,72,14M 4S
84,75,13M 37S
87,75,13M 24S
87,76,13M 6S
87,77,13M 6S
87,79,12M 49S
89,79,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,79,11M 23S
91,81,11M 9S
92,81,10M 50S
92,84,10M 28S
92,86,10M 4S
94,86,9M 45S
94,88,9M 17S
94,90,8M 45S
96,90,8M 27S
96,92,7M 15S
98,92,6M 54S
98,94,6M 30S
100,94,6M 8S
100,96,5M 53S
100,98,4M 42S
102,98,3M 9S
102,99,2M 52S
102,102,2M 37S
105,102,2M 1S
105,105,1M 38S
107,105,1M 20S
107,107,1M 3S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: J. Embiid vs. G. Dieng (B. Simmons gains possession),NA,5M 0S
108,107,4M 48S
109,107,4M 48S
109,109,3M 3S
Jump ball: J. Embiid vs. G. Dieng (S. Curry gains possession),NA,2M 9S
110,109,1M 42S
111,109,1M 42S
111,111,19S
113,111,0S
End of 1st overtime,NA,0S
