New Orleans,Milwaukee,time_rem
14-18,20-13,48M 0S
2,0,47M 42S
2,2,47M 25S
2,4,46M 52S
4,4,46M 34S
5,4,46M 14S
5,6,45M 57S
5,8,45M 22S
8,8,45M 14S
8,10,44M 58S
10,10,44M 45S
10,13,44M 17S
10,14,43M 43S
10,15,43M 43S
12,15,43M 32S
12,17,43M 13S
12,20,43M 0S
15,20,42M 45S
17,20,42M 16S
17,22,42M 4S
20,22,41M 57S
20,24,41M 35S
20,26,40M 56S
22,26,40M 44S
22,28,40M 34S
24,28,40M 9S
24,30,38M 45S
24,32,38M 22S
27,32,37M 41S
29,32,37M 21S
31,32,36M 19S
31,35,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,37,35M 40S
33,37,35M 4S
35,37,34M 15S
35,39,33M 35S
35,41,32M 50S
37,41,32M 33S
38,41,32M 33S
38,42,32M 23S
40,42,32M 6S
42,42,31M 39S
42,44,31M 21S
44,44,31M 6S
44,47,30M 56S
45,47,30M 41S
46,47,30M 41S
46,50,29M 52S
48,50,29M 36S
48,53,29M 24S
51,53,29M 9S
52,53,28M 39S
54,53,28M 34S
54,55,28M 15S
57,55,28M 0S
57,57,27M 47S
59,57,27M 33S
59,60,27M 23S
62,60,26M 59S
62,61,26M 33S
62,62,26M 33S
62,64,26M 10S
64,64,25M 59S
66,64,25M 5S
66,67,25M 0S
68,67,24M 25S
68,68,24M 4S
68,69,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,71,23M 46S
71,71,23M 34S
71,74,23M 24S
73,74,22M 57S
73,77,22M 32S
75,77,22M 13S
75,80,21M 27S
75,82,20M 59S
78,82,20M 42S
78,84,20M 33S
81,84,20M 11S
83,84,19M 45S
83,86,19M 35S
85,86,19M 14S
85,88,19M 2S
87,88,18M 14S
87,90,18M 4S
89,90,17M 25S
89,91,16M 39S
89,92,16M 39S
90,92,16M 21S
91,92,16M 21S
91,94,16M 4S
94,94,15M 31S
96,94,15M 1S
98,94,14M 25S
98,96,14M 5S
100,96,13M 45S
100,98,13M 10S
100,99,13M 10S
101,99,12M 51S
101,101,12M 42S
101,103,12M 24S
102,103,12M 5S
103,103,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
105,103,11M 43S
105,105,11M 25S
105,108,10M 51S
105,110,10M 30S
105,113,8M 23S
107,113,8M 7S
109,113,7M 42S
109,114,6M 47S
111,114,6M 27S
111,116,6M 12S
114,116,5M 54S
114,118,5M 42S
116,118,5M 19S
119,118,4M 59S
119,120,3M 58S
121,120,3M 30S
123,120,2M 58S
123,122,2M 44S
123,124,2M 16S
125,124,2M 1S
125,126,1M 45S
125,128,1M 19S
125,129,1S
End of 4th quarter,NA,0S
