Phoenix,Milwaukee,time_rem
2-2,2-2,48M 0S
2,0,47M 44S
2,2,46M 42S
2,4,46M 9S
4,4,45M 55S
6,4,45M 22S
8,4,44M 57S
10,4,44M 29S
12,4,43M 39S
12,7,43M 23S
13,7,43M 0S
14,7,43M 0S
16,7,42M 16S
16,9,42M 3S
18,9,41M 19S
18,11,40M 53S
18,14,39M 27S
18,16,38M 3S
20,16,37M 18S
20,17,36M 47S
20,18,36M 47S
23,18,36M 31S
23,20,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,20,35M 30S
25,20,35M 30S
25,22,34M 50S
25,24,34M 29S
28,24,34M 4S
28,26,33M 36S
30,26,33M 17S
30,28,32M 57S
30,29,32M 57S
33,29,32M 49S
33,30,31M 45S
33,31,31M 45S
33,33,31M 14S
33,35,30M 41S
33,36,30M 8S
33,37,30M 8S
35,37,29M 55S
35,39,29M 41S
37,39,29M 31S
39,39,29M 9S
39,40,28M 55S
39,41,28M 55S
41,41,28M 45S
43,41,28M 24S
43,43,27M 43S
44,43,27M 28S
45,43,27M 28S
45,44,27M 11S
45,45,27M 11S
47,45,27M 2S
49,45,25M 45S
49,47,25M 33S
52,47,25M 16S
52,49,24M 57S
52,52,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,52,23M 24S
57,52,22M 30S
57,54,21M 37S
59,54,21M 15S
59,55,20M 3S
59,56,20M 3S
61,56,19M 38S
63,56,19M 10S
63,58,18M 54S
63,60,18M 25S
64,60,18M 4S
65,60,18M 4S
65,61,17M 53S
65,62,17M 53S
67,62,17M 34S
67,64,17M 25S
69,64,17M 11S
69,66,16M 59S
69,67,16M 26S
69,70,15M 39S
71,70,15M 25S
73,70,14M 55S
73,71,14M 37S
73,73,14M 36S
75,73,14M 9S
76,73,13M 40S
77,73,13M 40S
80,73,13M 4S
80,76,12M 49S
82,76,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,76,11M 42S
85,79,11M 23S
85,81,10M 39S
87,81,10M 24S
87,82,8M 51S
89,82,8M 39S
89,84,8M 24S
89,86,8M 5S
90,86,7M 10S
90,88,6M 59S
91,88,6M 27S
92,88,6M 27S
93,88,6M 27S
93,90,6M 14S
95,90,5M 52S
Jump ball: G. Antetokounmpo vs. J. Crowder (D. Booker gains possession),NA,5M 31S
95,92,5M 22S
95,94,3M 40S
95,97,3M 8S
97,97,2M 52S
98,97,2M 30S
99,97,2M 30S
99,99,2M 7S
99,101,1M 28S
99,103,27S
99,104,20S
99,105,20S
101,105,14S
101,106,13S
101,107,13S
101,108,7S
101,109,7S
103,109,2S
End of 4th quarter,NA,0S
