Chicago,LA Lakers,time_rem
4-6,7-3,48M 0S
0,0,47M 45S
0,2,46M 49S
2,2,46M 32S
2,3,46M 18S
2,4,46M 18S
4,4,46M 4S
6,4,45M 34S
8,4,45M 1S
8,6,44M 52S
8,8,44M 32S
10,8,44M 16S
10,10,44M 4S
12,10,43M 37S
12,12,43M 20S
12,14,42M 7S
14,14,41M 48S
14,15,41M 35S
14,16,41M 35S
14,18,41M 0S
16,18,40M 48S
18,18,39M 49S
19,18,39M 49S
21,18,39M 24S
21,21,39M 2S
24,21,38M 43S
26,21,38M 6S
26,23,37M 41S
29,23,37M 21S
29,25,37M 3S
31,25,36M 51S
33,25,36M 10S
33,28,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,28,34M 50S
35,31,34M 33S
37,31,34M 18S
37,32,34M 6S
37,33,34M 6S
40,33,33M 57S
43,33,33M 36S
43,35,32M 59S
43,38,32M 15S
43,40,31M 46S
45,40,31M 28S
45,42,31M 12S
45,43,31M 12S
47,43,30M 26S
49,43,28M 37S
49,45,28M 13S
49,47,27M 31S
52,47,27M 15S
52,48,26M 59S
52,49,26M 59S
54,49,26M 39S
54,51,26M 24S
54,52,26M 24S
54,54,25M 51S
56,54,25M 32S
56,56,24M 43S
58,56,24M 24S
58,59,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,59,23M 41S
62,59,23M 10S
64,59,22M 51S
65,59,22M 51S
65,61,22M 30S
67,61,22M 17S
67,63,22M 3S
67,64,21M 36S
67,66,21M 25S
70,66,21M 18S
70,69,21M 0S
72,69,20M 30S
73,69,20M 4S
74,69,20M 4S
74,71,19M 15S
76,71,18M 56S
77,71,18M 56S
77,72,18M 47S
77,73,18M 47S
77,74,18M 4S
77,75,18M 4S
77,78,17M 39S
77,81,17M 12S
77,82,16M 33S
77,83,16M 33S
79,83,16M 18S
79,86,16M 0S
80,86,15M 49S
81,86,15M 49S
84,86,15M 19S
84,88,15M 4S
86,88,14M 31S
87,88,13M 57S
88,88,13M 57S
88,90,13M 4S
88,91,12M 40S
88,92,12M 40S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,94,11M 36S
90,94,10M 56S
90,97,10M 13S
90,99,9M 43S
90,101,8M 1S
90,102,8M 1S
92,102,7M 44S
94,102,7M 10S
96,102,6M 49S
97,102,6M 49S
97,104,6M 30S
100,104,6M 11S
100,105,5M 19S
102,105,4M 42S
102,107,4M 22S
103,107,4M 9S
103,110,3M 55S
104,110,3M 21S
105,110,3M 21S
107,110,2M 56S
107,113,2M 39S
107,114,2M 11S
110,114,1M 58S
112,114,1M 32S
112,116,46S
115,116,37S
115,117,0S
End of 4th quarter,NA,0S
