Brooklyn,Detroit,time_rem
14-12,6-18,48M 0S
3,0,47M 41S
3,3,47M 21S
3,5,46M 57S
3,6,46M 11S
3,7,46M 11S
3,9,45M 47S
3,11,45M 2S
3,13,44M 47S
5,13,44M 34S
6,13,43M 56S
7,13,43M 56S
7,15,43M 45S
7,16,43M 29S
7,18,43M 0S
9,18,42M 46S
9,20,42M 34S
11,20,42M 23S
13,20,42M 3S
13,22,41M 52S
15,22,41M 39S
15,24,41M 15S
17,24,40M 59S
17,26,40M 43S
19,26,40M 36S
20,26,40M 36S
20,29,40M 23S
20,31,39M 32S
22,31,38M 36S
22,34,38M 3S
24,34,37M 45S
24,36,37M 9S
24,38,36M 49S
26,38,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,41,35M 34S
29,41,35M 12S
29,43,34M 33S
29,45,33M 57S
29,46,33M 57S
29,49,33M 14S
31,49,32M 55S
33,49,32M 21S
36,49,31M 42S
36,51,31M 23S
36,53,30M 42S
38,53,30M 34S
39,53,30M 34S
41,53,30M 8S
42,53,30M 8S
43,53,29M 47S
44,53,29M 47S
44,55,29M 24S
44,57,28M 55S
46,57,28M 47S
48,57,27M 40S
48,59,26M 45S
48,61,25M 36S
50,61,25M 22S
50,63,25M 8S
52,63,24M 54S
54,63,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,65,23M 41S
55,65,23M 24S
56,65,23M 24S
56,66,23M 7S
58,66,22M 57S
58,68,22M 0S
60,68,21M 28S
60,71,21M 17S
63,71,20M 54S
63,74,20M 33S
65,74,20M 21S
67,74,19M 52S
Jump ball: B. Brown vs. J. Grant (D. Jordan gains possession),NA,19M 31S
69,74,18M 46S
70,74,18M 46S
70,75,18M 46S
70,76,18M 37S
70,79,18M 6S
72,79,17M 46S
74,79,17M 31S
77,79,17M 0S
77,81,16M 37S
77,83,16M 15S
80,83,15M 8S
80,85,14M 48S
80,86,14M 12S
82,86,13M 16S
82,87,13M 10S
82,88,13M 10S
82,89,13M 10S
83,89,12M 55S
84,89,12M 55S
84,91,12M 38S
86,91,12M 31S
86,94,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,94,11M 39S
89,96,10M 7S
89,98,9M 33S
89,101,8M 54S
90,101,8M 29S
91,101,8M 29S
94,101,7M 52S
94,104,6M 57S
96,104,6M 36S
96,106,5M 48S
96,108,5M 11S
99,108,4M 51S
99,110,4M 18S
99,112,3M 42S
99,113,2M 31S
102,113,2M 9S
102,114,1M 49S
104,114,1M 30S
104,117,1M 11S
107,117,1M 7S
107,118,55S
107,119,55S
109,119,47S
109,122,26S
111,122,19S
End of 4th quarter,NA,0S
