Sacramento,LA Clippers,time_rem
12-11,17-8,48M 0S
0,0,47M 46S
0,3,47M 27S
2,3,47M 12S
4,3,46M 42S
4,5,45M 16S
6,5,45M 5S
6,8,44M 42S
8,8,43M 59S
10,8,43M 27S
10,10,42M 18S
12,10,42M 6S
14,10,41M 33S
14,12,41M 5S
16,12,40M 43S
16,14,40M 28S
16,15,40M 28S
18,15,39M 42S
20,15,38M 51S
20,17,37M 23S
20,19,36M 59S
20,22,36M 26S
22,22,36M 18S
22,24,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,26,35M 44S
22,28,35M 5S
25,28,34M 47S
25,31,34M 34S
28,31,33M 50S
28,32,33M 31S
28,33,33M 31S
28,35,33M 3S
30,35,32M 43S
30,37,32M 36S
32,37,32M 20S
32,39,31M 47S
34,39,31M 9S
34,41,30M 45S
36,41,30M 25S
36,42,30M 9S
36,43,30M 9S
38,43,29M 59S
39,43,29M 59S
41,43,28M 39S
43,43,28M 11S
43,45,27M 46S
44,45,27M 27S
45,45,27M 27S
45,47,27M 7S
45,50,25M 53S
46,50,25M 39S
47,50,25M 39S
49,50,25M 12S
52,50,24M 48S
54,50,24M 27S
54,51,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,53,23M 43S
54,55,23M 9S
56,55,23M 2S
56,58,22M 40S
59,58,22M 24S
59,60,21M 7S
62,60,20M 56S
62,62,20M 5S
64,62,19M 55S
67,62,19M 15S
69,62,18M 32S
69,64,17M 8S
71,64,16M 50S
73,64,16M 18S
73,66,16M 5S
73,68,15M 21S
73,70,14M 30S
73,73,14M 5S
75,73,13M 21S
75,75,13M 12S
76,75,12M 55S
76,77,12M 40S
78,77,12M 29S
78,78,12M 8S
78,79,12M 8S
78,80,12M 8S
79,80,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,80,11M 45S
81,82,11M 23S
84,82,11M 1S
87,82,10M 29S
87,84,10M 12S
89,84,9M 30S
89,86,9M 11S
89,87,8M 49S
89,88,8M 49S
91,88,8M 30S
93,88,8M 6S
93,90,7M 30S
95,90,7M 12S
95,91,7M 3S
95,92,7M 3S
95,93,6M 40S
95,94,6M 40S
95,97,6M 17S
96,97,5M 54S
97,97,5M 54S
97,98,5M 44S
97,99,5M 44S
100,99,5M 16S
100,101,5M 9S
103,101,4M 9S
103,102,3M 8S
103,103,3M 8S
105,103,2M 55S
105,104,2M 40S
107,104,2M 25S
107,106,1M 15S
109,106,58S
109,108,49S
111,108,31S
112,108,8S
113,108,8S
113,110,2S
End of 4th quarter,NA,0S
