New Orleans,Golden State,time_rem
31-40,38-33,48M 0S
0,2,47M 40S
3,2,47M 21S
3,5,47M 2S
5,5,46M 43S
5,8,46M 35S
8,8,45M 56S
8,10,45M 24S
8,12,44M 57S
8,15,44M 29S
8,17,43M 35S
10,17,43M 10S
10,19,42M 52S
12,19,42M 38S
15,19,42M 12S
15,22,41M 49S
17,22,41M 37S
17,24,41M 28S
19,24,41M 15S
19,26,41M 0S
21,26,40M 50S
21,29,40M 42S
23,29,40M 25S
23,30,40M 12S
23,31,40M 12S
25,31,39M 59S
27,31,39M 33S
27,34,39M 20S
27,37,38M 41S
27,38,38M 6S
28,38,37M 48S
28,41,37M 40S
30,41,37M 26S
32,41,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,44,35M 26S
35,44,33M 38S
35,46,33M 21S
35,47,33M 21S
37,47,32M 21S
37,49,32M 8S
40,49,31M 24S
40,51,31M 11S
42,51,30M 47S
44,51,29M 58S
Jump ball: J. Poole vs. M. Louzada Silva (K. Looney gains possession),NA,29M 42S
44,53,29M 37S
44,54,29M 12S
44,55,29M 12S
45,55,28M 32S
45,57,28M 20S
46,57,28M 7S
46,60,27M 51S
49,60,27M 34S
49,62,27M 6S
51,62,26M 50S
51,64,26M 36S
51,65,26M 31S
51,66,26M 31S
53,66,26M 15S
53,68,25M 58S
53,70,25M 41S
55,70,25M 11S
56,70,25M 11S
56,73,24M 58S
56,74,24M 36S
56,75,24M 36S
57,75,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,75,23M 9S
60,75,22M 34S
60,76,22M 15S
62,76,21M 21S
63,76,21M 21S
63,78,20M 27S
65,78,19M 18S
65,79,18M 27S
67,79,18M 13S
67,80,18M 5S
67,81,18M 5S
67,82,17M 48S
67,83,17M 48S
68,83,17M 35S
69,83,17M 35S
71,83,17M 9S
71,84,16M 56S
71,85,16M 56S
73,85,16M 44S
73,88,15M 58S
75,88,15M 28S
75,91,15M 20S
77,91,15M 5S
77,93,14M 47S
80,93,14M 25S
82,93,13M 59S
83,93,13M 59S
84,93,13M 43S
84,95,13M 20S
87,95,13M 12S
87,96,12M 48S
90,96,12M 35S
90,99,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,102,11M 42S
91,102,11M 25S
92,102,11M 25S
93,102,11M 25S
93,105,11M 15S
95,105,11M 3S
95,107,10M 49S
97,107,10M 16S
99,107,9M 50S
99,108,9M 28S
99,109,9M 15S
99,110,9M 15S
100,110,9M 0S
101,110,9M 0S
101,112,8M 47S
103,112,8M 36S
104,112,8M 36S
104,114,8M 23S
105,114,6M 48S
106,114,6M 48S
106,117,6M 28S
108,117,6M 12S
108,119,5M 43S
111,119,5M 30S
113,119,5M 3S
115,119,3M 39S
117,119,3M 18S
120,119,2M 12S
120,121,33S
122,121,25S
122,123,21S
122,124,0S
122,125,0S
End of 4th quarter,NA,0S
