Houston,Washington,time_rem
11-16,8-17,48M 0S
0,0,47M 48S
0,2,47M 20S
0,4,46M 56S
2,4,46M 32S
2,6,45M 45S
2,9,45M 25S
4,9,45M 10S
5,9,44M 38S
6,9,44M 38S
8,9,44M 6S
8,10,44M 1S
8,11,44M 1S
8,12,43M 29S
8,13,43M 29S
11,13,43M 19S
11,16,42M 54S
13,16,42M 40S
13,18,42M 28S
15,18,41M 58S
16,18,41M 33S
16,20,41M 11S
16,22,40M 45S
18,22,40M 32S
19,22,40M 9S
20,22,40M 9S
20,23,40M 8S
20,24,40M 8S
22,24,39M 51S
22,25,39M 39S
25,25,39M 31S
25,26,39M 15S
25,28,38M 53S
25,31,38M 29S
25,33,38M 1S
27,33,37M 47S
28,33,37M 23S
29,33,37M 23S
30,33,36M 56S
31,33,36M 56S
31,35,36M 34S
34,35,36M 20S
34,38,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,40,35M 44S
36,40,35M 27S
36,41,35M 11S
36,42,35M 11S
36,44,34M 34S
37,44,33M 56S
38,44,33M 56S
39,44,33M 8S
41,44,32M 23S
43,44,31M 35S
43,46,31M 20S
45,46,30M 29S
47,46,29M 58S
47,48,29M 34S
47,50,29M 7S
47,53,28M 38S
47,55,28M 11S
48,55,27M 57S
49,55,27M 57S
49,56,27M 44S
49,57,27M 44S
51,57,27M 21S
52,57,27M 3S
52,59,26M 56S
54,59,26M 49S
55,59,26M 49S
57,59,26M 32S
57,62,26M 24S
57,64,26M 14S
59,64,26M 2S
59,66,25M 50S
61,66,25M 3S
61,67,24M 55S
61,68,24M 55S
64,68,24M 48S
67,68,24M 34S
67,71,24M 30S
67,72,24M 30S
69,72,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,73,23M 35S
69,75,22M 31S
Jump ball: D. Cousins vs. R. Lopez (J. Wall gains possession),NA,21M 27S
69,77,20M 50S
69,79,20M 12S
71,79,20M 0S
73,79,19M 31S
73,82,19M 13S
73,83,18M 11S
73,84,18M 11S
76,84,17M 59S
78,84,17M 24S
78,86,16M 38S
80,86,16M 17S
80,89,16M 6S
83,89,15M 47S
83,91,15M 25S
83,93,14M 38S
83,94,14M 9S
83,95,14M 9S
83,97,13M 46S
85,97,13M 23S
85,100,13M 9S
87,100,12M 52S
89,100,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,100,11M 50S
91,102,11M 28S
91,104,10M 42S
92,104,10M 32S
93,104,10M 32S
93,106,10M 11S
93,108,9M 54S
94,108,9M 47S
94,110,9M 2S
96,110,8M 53S
96,112,8M 41S
98,112,8M 27S
99,112,8M 27S
99,113,7M 15S
99,114,7M 15S
101,114,6M 58S
101,116,5M 53S
101,119,5M 18S
103,119,5M 8S
105,119,4M 42S
105,121,4M 27S
107,121,4M 15S
108,121,4M 15S
111,121,3M 43S
111,124,3M 27S
113,124,3M 11S
115,124,2M 50S
116,124,2M 50S
116,126,2M 29S
116,128,1M 20S
116,129,58S
116,131,21S
117,131,15S
118,131,1S
119,131,1S
End of 4th quarter,NA,0S
