Chicago,Charlotte,time_rem
27-39,32-34,48M 0S
0,0,47M 41S
2,0,47M 35S
3,0,47M 35S
6,0,47M 7S
6,3,46M 53S
8,3,46M 29S
10,3,45M 46S
10,6,44M 58S
12,6,44M 43S
14,6,44M 21S
15,6,44M 21S
15,8,43M 57S
17,8,43M 40S
17,9,43M 0S
20,9,42M 35S
20,10,42M 19S
20,12,41M 54S
20,14,41M 22S
22,14,40M 39S
22,16,39M 58S
25,16,39M 41S
25,19,39M 26S
27,19,39M 8S
30,19,38M 42S
30,21,36M 39S
33,21,36M 29S
33,24,36M 8S
34,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,24,35M 4S
36,27,34M 47S
37,27,34M 25S
39,27,34M 6S
39,30,33M 51S
39,31,32M 26S
41,31,32M 8S
41,33,31M 47S
43,33,31M 14S
45,33,30M 18S
48,33,29M 57S
48,36,29M 37S
48,39,29M 10S
51,39,28M 57S
51,42,28M 17S
54,42,27M 56S
54,45,27M 32S
56,45,27M 11S
56,48,26M 59S
56,51,25M 58S
56,53,25M 2S
59,53,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,53,23M 0S
61,55,22M 42S
63,55,22M 35S
63,57,21M 25S
65,57,20M 58S
68,57,20M 5S
69,57,19M 28S
69,59,19M 7S
69,60,18M 51S
72,60,18M 40S
72,62,18M 18S
72,64,18M 6S
74,64,17M 34S
74,67,17M 31S
76,67,17M 18S
79,67,16M 48S
79,69,16M 32S
82,69,15M 53S
84,69,15M 5S
87,69,13M 54S
89,69,13M 34S
89,70,13M 28S
89,71,13M 28S
91,71,13M 8S
91,72,12M 44S
93,72,12M 34S
93,74,12M 21S
95,74,12M 3S
96,74,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,77,11M 42S
98,77,11M 25S
Jump ball: L. Markkanen vs. B. Wanamaker (T. Young gains possession),NA,11M 3S
101,77,10M 59S
101,79,10M 41S
101,81,9M 47S
101,83,9M 11S
101,85,8M 35S
104,85,8M 9S
105,85,7M 27S
105,87,7M 6S
105,89,6M 46S
107,89,6M 27S
109,89,5M 59S
111,89,3M 47S
111,92,2M 43S
114,92,2M 16S
114,95,1M 57S
115,95,53S
116,95,53S
117,95,53S
117,97,43S
120,97,35S
120,99,12S
End of 4th quarter,NA,0S
