Houston,Detroit,time_rem
5-9,3-12,48M 0S
3,0,47M 44S
6,0,46M 35S
6,2,46M 17S
7,2,45M 37S
8,2,45M 37S
8,5,45M 25S
11,5,45M 10S
13,5,44M 46S
14,5,44M 46S
16,5,43M 31S
16,7,43M 7S
17,7,42M 55S
17,9,42M 39S
17,12,42M 20S
19,12,42M 8S
22,12,41M 3S
24,12,40M 29S
24,14,40M 12S
24,15,39M 29S
24,16,39M 29S
24,18,38M 50S
27,18,38M 24S
29,18,38M 6S
32,18,37M 18S
32,19,36M 44S
32,20,36M 44S
34,20,36M 32S
34,21,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,23,35M 42S
37,23,35M 24S
39,23,34M 34S
41,23,34M 8S
43,23,33M 19S
43,25,33M 4S
45,25,32M 43S
45,28,32M 32S
47,28,32M 22S
47,30,31M 35S
47,31,31M 0S
47,32,31M 0S
47,34,30M 5S
49,34,29M 55S
51,34,29M 23S
51,35,28M 54S
52,35,28M 34S
52,38,28M 16S
52,41,27M 29S
52,42,27M 7S
52,43,27M 7S
52,45,25M 40S
54,45,25M 14S
54,46,24M 55S
54,47,24M 55S
55,47,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,50,23M 45S
55,51,23M 15S
57,51,22M 38S
60,51,22M 3S
60,52,21M 18S
60,53,21M 18S
63,53,21M 2S
63,54,20M 49S
63,55,20M 49S
66,55,20M 5S
66,57,19M 47S
66,58,19M 25S
68,58,19M 3S
68,61,18M 24S
68,64,17M 8S
71,64,16M 52S
71,66,16M 37S
71,69,16M 11S
71,72,15M 21S
72,72,14M 39S
73,72,14M 39S
73,75,14M 25S
75,75,14M 12S
75,77,12M 49S
75,78,12M 49S
75,81,12M 17S
77,81,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,81,11M 5S
82,81,9M 43S
82,82,9M 22S
82,83,9M 22S
84,83,9M 6S
85,83,9M 6S
85,85,8M 42S
87,85,8M 5S
90,85,7M 29S
90,87,6M 11S
92,87,6M 0S
95,87,5M 32S
95,88,5M 14S
95,89,5M 14S
95,92,4M 16S
95,93,3M 16S
96,93,2M 42S
97,93,2M 42S
97,95,2M 21S
98,95,2M 5S
99,95,2M 5S
100,95,2M 5S
100,98,1M 49S
102,98,1M 8S
102,99,52S
103,99,42S
103,102,29S
End of 4th quarter,NA,0S
