Minnesota,Cleveland,time_rem
5-15,10-11,48M 0S
0,0,47M 42S
0,2,47M 21S
2,2,47M 3S
4,2,46M 34S
6,2,45M 59S
6,4,45M 44S
6,7,45M 7S
6,9,43M 53S
6,11,43M 10S
6,13,42M 43S
9,13,42M 18S
9,15,42M 5S
11,15,41M 56S
11,18,41M 42S
13,18,41M 31S
13,20,41M 8S
14,20,40M 59S
14,22,40M 40S
16,22,40M 18S
18,22,39M 55S
19,22,39M 55S
19,24,39M 43S
21,24,39M 24S
21,25,39M 15S
23,25,37M 33S
23,27,37M 17S
26,27,36M 58S
26,29,36M 47S
29,29,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,32,34M 54S
31,32,34M 21S
31,34,34M 6S
32,34,33M 53S
32,36,33M 37S
34,36,33M 18S
34,39,31M 35S
34,41,31M 12S
36,41,30M 48S
38,41,30M 11S
38,42,30M 1S
38,43,30M 1S
38,44,29M 5S
38,45,29M 5S
41,45,27M 29S
41,46,26M 37S
41,47,26M 37S
41,49,25M 59S
41,50,25M 29S
44,50,25M 9S
44,51,24M 2S
44,52,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,54,23M 25S
47,54,22M 41S
47,57,21M 36S
49,57,20M 22S
49,59,20M 9S
51,59,19M 21S
51,60,19M 3S
53,60,18M 48S
55,60,17M 58S
55,62,17M 39S
57,62,17M 28S
57,64,16M 40S
57,66,15M 57S
59,66,15M 34S
59,68,15M 18S
61,68,14M 37S
61,69,14M 27S
61,71,14M 17S
64,71,14M 5S
65,71,13M 30S
65,73,13M 8S
67,73,12M 33S
67,76,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,77,11M 48S
70,77,10M 49S
71,77,10M 4S
73,77,9M 44S
76,77,9M 12S
78,77,8M 25S
78,79,8M 17S
78,80,7M 40S
78,81,7M 40S
78,83,7M 18S
78,85,6M 42S
80,85,6M 31S
80,88,6M 16S
82,88,5M 52S
82,89,5M 38S
84,89,4M 45S
84,90,4M 25S
84,91,4M 25S
85,91,3M 16S
86,91,3M 16S
86,93,2M 52S
88,93,2M 41S
88,94,1M 47S
88,95,1M 47S
91,95,1M 2S
91,97,43S
91,98,19S
94,98,14S
96,98,6S
96,99,3S
96,100,3S
98,100,0S
End of 4th quarter,NA,0S
