Denver,Washington,time_rem
15-13,9-17,48M 0S
2,0,47M 51S
2,2,47M 27S
4,2,47M 11S
4,5,46M 38S
6,5,46M 18S
8,5,45M 47S
10,5,44M 57S
11,5,44M 57S
14,5,44M 32S
14,7,44M 7S
14,9,42M 38S
16,9,42M 13S
Jump ball: M. Porter vs. A. Len (G. Harris gains possession),NA,41M 54S
18,9,41M 21S
19,9,41M 21S
19,11,41M 4S
21,11,40M 43S
21,14,40M 20S
24,14,39M 57S
27,14,39M 32S
27,17,39M 17S
27,19,38M 30S
28,19,38M 22S
29,19,38M 22S
31,19,37M 58S
34,19,37M 27S
34,21,37M 14S
36,21,37M 3S
37,21,36M 34S
39,21,36M 33S
41,21,36M 4S
41,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,26,35M 31S
41,27,35M 31S
41,30,35M 7S
43,30,34M 48S
43,32,33M 47S
43,33,33M 47S
46,33,33M 21S
46,34,33M 7S
46,35,33M 7S
46,38,32M 34S
48,38,32M 25S
48,41,32M 15S
48,42,31M 54S
48,43,31M 54S
50,43,31M 22S
50,45,30M 28S
52,45,30M 7S
52,47,29M 34S
52,49,29M 14S
52,52,28M 43S
54,52,28M 23S
54,54,28M 6S
54,55,27M 49S
54,56,27M 49S
57,56,27M 32S
59,56,27M 0S
59,58,26M 51S
62,58,26M 41S
62,61,25M 53S
64,61,25M 38S
64,62,25M 37S
64,63,25M 14S
64,65,24M 52S
64,66,24M 52S
64,67,24M 18S
64,68,24M 18S
64,70,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,71,23M 40S
64,72,23M 40S
66,72,23M 28S
66,74,22M 50S
68,74,22M 31S
70,74,21M 52S
71,74,21M 52S
71,76,21M 26S
72,76,20M 47S
73,76,20M 47S
73,78,20M 3S
73,79,20M 3S
75,79,18M 21S
75,81,18M 17S
77,81,17M 54S
77,83,17M 43S
79,83,17M 19S
79,86,16M 40S
82,86,16M 6S
82,88,15M 53S
82,90,15M 16S
83,90,15M 5S
84,90,15M 5S
84,93,14M 50S
87,93,14M 38S
87,95,14M 18S
89,95,14M 4S
90,95,13M 50S
91,95,13M 50S
91,98,13M 40S
91,99,12M 30S
91,100,12M 30S
93,100,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,100,11M 50S
98,100,11M 18S
98,102,10M 54S
101,102,10M 36S
101,105,9M 45S
101,106,9M 21S
101,107,9M 21S
101,108,9M 21S
101,110,8M 48S
103,110,8M 31S
103,113,7M 30S
104,113,7M 15S
104,115,6M 49S
106,115,6M 34S
106,118,5M 21S
108,118,5M 5S
108,120,4M 39S
108,121,4M 39S
111,121,4M 24S
114,121,3M 38S
114,123,3M 19S
117,123,2M 57S
118,123,2M 33S
119,123,2M 33S
122,123,1M 59S
122,125,1M 41S
125,125,30S
125,126,8S
125,127,8S
125,128,8S
128,128,2S
128,129,0S
128,130,0S
End of 4th quarter,NA,0S
