Dallas,Orlando,time_rem
17-16,13-22,48M 0S
0,0,47M 44S
2,0,47M 22S
2,2,47M 4S
4,2,46M 47S
6,2,46M 0S
6,4,45M 36S
8,4,45M 20S
8,7,44M 22S
10,7,44M 5S
10,9,43M 56S
11,9,43M 36S
12,9,43M 36S
12,10,43M 22S
12,11,43M 22S
14,11,43M 1S
14,13,42M 49S
16,13,41M 53S
16,15,41M 34S
16,18,41M 7S
19,18,40M 54S
19,20,39M 50S
19,22,39M 15S
21,22,39M 1S
21,25,38M 38S
21,28,38M 15S
24,28,37M 52S
24,30,37M 34S
27,30,37M 19S
27,31,37M 0S
29,31,36M 29S
29,33,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,35,35M 45S
31,35,35M 21S
34,35,34M 34S
37,35,34M 1S
37,37,33M 42S
37,38,32M 34S
37,39,32M 34S
40,39,32M 25S
Jump ball: D. Powell vs. A. Aminu (T. Hardaway gains possession),NA,31M 57S
43,39,31M 49S
43,41,31M 33S
45,41,30M 53S
46,41,30M 27S
47,41,30M 27S
47,43,29M 49S
50,43,29M 31S
50,46,29M 14S
52,46,28M 55S
54,46,28M 32S
54,49,27M 2S
57,49,26M 42S
57,52,26M 1S
59,52,25M 14S
59,55,24M 36S
61,55,24M 29S
61,58,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,61,23M 42S
64,61,23M 30S
64,63,22M 36S
66,63,22M 2S
66,65,21M 44S
69,65,21M 30S
69,67,21M 11S
71,67,20M 53S
72,67,20M 53S
72,69,20M 29S
75,69,20M 8S
78,69,19M 1S
78,71,18M 42S
80,71,17M 11S
82,71,16M 39S
83,71,16M 39S
83,73,16M 26S
83,74,16M 26S
85,74,16M 8S
85,77,15M 49S
85,80,15M 26S
87,80,15M 9S
88,80,14M 39S
90,80,14M 17S
91,80,13M 56S
93,80,13M 27S
93,83,13M 5S
93,86,12M 39S
95,86,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,86,11M 47S
99,86,11M 18S
99,89,10M 56S
102,89,10M 26S
102,91,10M 12S
103,91,10M 2S
104,91,10M 2S
104,94,9M 43S
105,94,9M 23S
106,94,9M 23S
106,96,9M 10S
108,96,8M 51S
111,96,8M 18S
111,97,8M 1S
111,98,8M 1S
112,98,7M 21S
113,98,7M 21S
113,100,7M 4S
116,100,6M 52S
116,102,6M 7S
118,102,5M 24S
120,102,4M 56S
120,105,4M 33S
120,108,4M 6S
121,108,3M 56S
121,110,3M 19S
121,111,2M 42S
121,113,2M 12S
123,113,1M 55S
123,115,1M 39S
126,115,1M 16S
126,117,40S
126,118,40S
127,118,32S
128,118,32S
128,121,26S
129,121,23S
129,124,16S
130,124,7S
End of 4th quarter,NA,0S
