Portland,Toronto,time_rem
28-18,18-28,48M 0S
0,0,47M 37S
0,1,47M 1S
2,1,46M 37S
2,3,46M 14S
3,3,45M 59S
4,3,45M 59S
6,3,45M 27S
6,5,44M 52S
8,5,44M 44S
10,5,44M 19S
12,5,43M 54S
12,7,43M 36S
12,9,43M 19S
12,10,43M 19S
12,12,42M 51S
13,12,42M 42S
14,12,42M 42S
14,14,42M 15S
17,14,42M 2S
17,17,41M 46S
17,20,41M 24S
20,20,41M 12S
20,22,40M 52S
20,23,40M 52S
22,23,40M 35S
22,26,40M 22S
22,28,39M 48S
24,28,39M 33S
24,30,39M 17S
25,30,39M 5S
26,30,39M 5S
26,33,38M 51S
26,35,38M 31S
26,36,38M 31S
27,36,38M 16S
29,36,38M 13S
29,38,37M 47S
30,38,37M 7S
32,38,37M 1S
32,41,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,43,35M 37S
33,43,35M 21S
34,43,35M 21S
36,43,34M 50S
36,46,34M 31S
39,46,34M 13S
39,47,33M 41S
39,48,33M 41S
42,48,33M 13S
44,48,32M 13S
44,51,32M 3S
46,51,31M 11S
46,53,30M 57S
49,53,30M 42S
49,55,30M 19S
50,55,29M 36S
51,55,29M 36S
51,56,29M 25S
53,56,29M 6S
53,59,28M 47S
55,59,28M 33S
55,62,28M 19S
55,63,27M 58S
57,63,27M 35S
59,63,27M 15S
61,63,26M 58S
61,64,26M 45S
61,65,26M 45S
61,67,26M 10S
63,67,25M 57S
64,67,25M 57S
66,67,25M 44S
66,68,25M 14S
66,69,25M 14S
68,69,24M 33S
68,71,24M 24S
68,74,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,74,23M 20S
71,74,22M 0S
73,74,21M 32S
73,76,21M 18S
73,78,20M 31S
75,78,20M 18S
75,79,19M 27S
75,80,19M 27S
75,82,18M 27S
78,82,18M 15S
81,82,17M 42S
83,82,17M 27S
85,82,16M 38S
87,82,14M 42S
89,82,13M 8S
89,84,12M 43S
91,84,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,84,11M 36S
94,87,11M 19S
96,87,10M 57S
96,88,10M 30S
96,89,10M 30S
99,89,10M 17S
99,91,9M 49S
101,91,9M 34S
101,94,9M 5S
103,94,8M 47S
103,97,8M 34S
105,97,8M 9S
107,97,7M 53S
108,97,7M 53S
108,98,7M 40S
108,99,7M 15S
108,100,7M 15S
108,102,6M 17S
111,102,5M 57S
111,104,5M 11S
111,105,4M 37S
111,106,3M 29S
111,107,3M 29S
111,110,2M 28S
113,110,2M 4S
115,110,1M 16S
115,111,1M 5S
117,111,44S
118,111,44S
118,112,35S
118,113,35S
Jump ball: F. VanVleet vs. N. Powell (P. Siakam gains possession),NA,31S
118,115,22S
119,115,15S
120,115,15S
120,117,6S
121,117,4S
122,117,4S
End of 4th quarter,NA,0S
