New York,Atlanta,time_rem
1-2,2-1,48M 0S
0,2,47M 45S
1,2,45M 56S
2,2,45M 56S
4,2,45M 26S
4,4,44M 59S
6,4,44M 40S
6,6,44M 35S
8,6,43M 46S
8,8,43M 16S
10,8,43M 4S
10,10,42M 53S
12,10,42M 37S
12,12,42M 28S
15,12,42M 15S
15,14,42M 6S
15,17,41M 14S
16,17,40M 31S
17,17,40M 31S
17,20,40M 13S
19,20,39M 55S
20,20,38M 52S
21,20,38M 52S
21,21,38M 39S
21,24,38M 13S
21,27,37M 8S
22,27,36M 43S
23,27,36M 43S
24,27,36M 14S
25,27,36M 14S
25,28,36M 12S
25,29,36M 12S
26,29,36M 1S
27,29,36M 1S
28,29,36M 1S
31,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,29,35M 44S
33,32,34M 47S
33,34,34M 11S
35,34,33M 54S
35,36,31M 56S
36,36,31M 46S
39,36,31M 19S
39,38,31M 8S
39,41,29M 30S
39,43,28M 54S
39,45,28M 27S
42,45,28M 2S
42,48,27M 39S
42,50,26M 59S
42,52,26M 11S
42,55,25M 17S
42,58,24M 30S
44,58,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,61,23M 30S
46,61,23M 15S
46,62,22M 59S
49,62,22M 35S
49,64,22M 16S
52,64,21M 51S
52,66,21M 30S
Jump ball: J. Collins vs. T. Gibson (T. Gibson gains possession),NA,20M 25S
52,68,19M 47S
55,68,19M 0S
55,70,18M 43S
57,70,17M 47S
57,72,17M 31S
58,72,17M 12S
59,72,17M 12S
59,74,16M 34S
59,76,16M 11S
60,76,16M 0S
61,76,16M 0S
63,76,15M 24S
63,79,15M 6S
66,79,14M 39S
66,81,14M 20S
67,81,14M 1S
68,81,14M 1S
68,83,13M 42S
69,83,12M 50S
69,86,12M 32S
70,86,12M 17S
71,86,12M 17S
72,86,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,89,11M 46S
74,89,10M 58S
74,92,10M 6S
76,92,9M 51S
78,92,9M 29S
78,94,8M 52S
80,94,8M 25S
80,97,7M 43S
82,97,5M 58S
84,97,5M 18S
85,97,5M 18S
85,100,4M 5S
86,100,3M 49S
87,100,3M 49S
87,102,3M 34S
89,102,2M 32S
89,104,2M 8S
91,104,1M 44S
91,105,1M 32S
94,105,32S
End of 4th quarter,NA,0S
