Golden State,LA Lakers,time_rem
19-16,24-11,48M 0S
0,0,47M 35S
1,0,47M 32S
1,2,47M 20S
1,3,47M 20S
1,4,46M 32S
3,4,46M 20S
3,7,46M 7S
3,9,45M 46S
3,12,45M 23S
3,15,44M 43S
5,15,44M 14S
5,18,43M 53S
5,19,43M 24S
5,20,43M 24S
8,20,42M 57S
8,23,42M 36S
10,23,42M 22S
10,24,42M 7S
10,25,42M 7S
13,25,41M 58S
14,25,41M 58S
16,25,41M 33S
17,25,41M 33S
17,28,40M 36S
19,28,39M 51S
19,29,39M 40S
21,29,39M 9S
21,30,39M 5S
21,32,38M 28S
21,33,38M 5S
21,34,38M 5S
21,36,36M 55S
21,38,36M 43S
21,39,36M 34S
21,40,36M 0S
21,41,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,43,35M 12S
23,43,35M 2S
25,43,34M 3S
25,45,33M 53S
27,45,33M 32S
27,47,33M 9S
29,47,32M 56S
29,49,32M 8S
31,49,31M 58S
31,51,31M 39S
31,53,29M 54S
31,56,29M 27S
31,57,29M 9S
31,58,29M 9S
31,60,28M 23S
33,60,28M 8S
33,62,27M 9S
34,62,27M 2S
35,62,27M 2S
36,62,27M 2S
39,62,26M 30S
39,63,25M 30S
39,64,25M 30S
39,67,25M 17S
42,67,25M 6S
42,68,24M 52S
42,69,24M 52S
44,69,24M 38S
44,70,24M 28S
44,73,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,75,23M 23S
45,75,23M 10S
47,75,22M 37S
47,76,21M 40S
49,76,20M 45S
49,78,19M 57S
51,78,18M 52S
51,81,18M 34S
51,83,18M 10S
53,83,17M 55S
53,85,17M 30S
55,85,17M 17S
56,85,16M 48S
58,85,16M 13S
58,87,16M 0S
58,89,15M 43S
58,90,13M 51S
58,91,13M 51S
60,91,13M 37S
61,91,13M 37S
61,93,13M 18S
61,95,12M 54S
63,95,12M 48S
63,97,12M 40S
63,98,12M 40S
66,98,12M 23S
66,99,12M 5S
69,99,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,101,11M 21S
71,101,11M 2S
71,104,10M 45S
73,104,10M 25S
73,105,9M 47S
75,105,9M 31S
75,107,8M 9S
76,107,6M 59S
77,107,6M 59S
77,109,6M 39S
79,109,6M 22S
79,111,6M 2S
79,113,5M 48S
80,113,5M 19S
82,113,3M 44S
82,115,2M 55S
84,115,2M 40S
84,117,2M 31S
87,117,2M 12S
88,117,1M 41S
91,117,11S
End of 4th quarter,NA,0S
