Oklahoma City,New Orleans,time_rem
3-4,4-4,48M 0S
0,0,47M 44S
0,2,47M 40S
3,2,47M 4S
3,4,46M 49S
6,4,46M 0S
6,7,45M 38S
9,7,45M 27S
12,7,45M 5S
12,10,44M 50S
12,12,44M 20S
12,14,43M 56S
12,16,43M 26S
12,18,43M 0S
12,19,42M 24S
14,19,41M 21S
14,21,41M 8S
16,21,40M 49S
19,21,40M 25S
19,22,40M 10S
19,23,40M 10S
19,25,39M 47S
19,27,39M 2S
21,27,38M 48S
21,29,38M 27S
23,29,37M 51S
23,32,37M 35S
26,32,37M 9S
26,34,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,34,35M 44S
30,34,34M 57S
30,36,34M 40S
31,36,34M 40S
32,36,34M 14S
32,39,34M 3S
35,39,33M 52S
37,39,33M 21S
37,40,32M 37S
37,41,32M 37S
40,41,31M 53S
42,41,31M 19S
45,41,30M 54S
47,41,30M 35S
47,43,30M 24S
47,45,30M 0S
47,47,29M 30S
47,49,28M 35S
47,51,28M 14S
47,53,27M 29S
50,53,27M 18S
50,55,26M 4S
52,55,25M 46S
52,57,25M 28S
54,57,25M 4S
54,59,24M 51S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,59,23M 45S
59,59,23M 26S
60,59,23M 26S
63,59,22M 34S
65,59,22M 3S
65,60,21M 45S
65,61,21M 45S
68,61,21M 10S
70,61,20M 43S
72,61,20M 10S
72,62,19M 53S
72,63,19M 53S
72,65,19M 21S
72,67,18M 10S
74,67,18M 2S
74,68,17M 47S
75,68,17M 33S
75,70,17M 16S
77,70,17M 5S
80,70,16M 20S
80,72,15M 37S
82,72,14M 55S
84,72,14M 31S
85,72,13M 50S
86,72,13M 50S
86,74,13M 22S
88,74,12M 49S
88,76,12M 40S
88,78,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,80,11M 48S
88,82,10M 51S
88,84,10M 31S
88,85,9M 43S
88,86,9M 43S
88,87,9M 13S
91,87,8M 51S
94,87,8M 27S
97,87,8M 6S
97,89,7M 41S
97,91,6M 59S
97,92,6M 59S
97,94,6M 17S
97,95,5M 43S
97,96,5M 43S
97,98,4M 16S
97,99,4M 16S
100,99,4M 2S
100,101,3M 1S
100,103,2M 23S
100,104,2M 23S
103,104,1M 59S
103,106,1M 35S
105,106,1M 22S
106,106,1M 22S
106,108,57S
107,108,47S
108,108,47S
109,108,47S
109,110,32S
110,110,12S
111,110,12S
End of 4th quarter,NA,0S
