Indiana,Detroit,time_rem
13-13,6-19,48M 0S
0,2,47M 36S
2,2,47M 24S
2,3,46M 16S
2,4,46M 16S
2,5,46M 16S
2,7,45M 20S
2,9,44M 50S
4,9,43M 47S
4,11,43M 23S
6,11,43M 13S
8,11,42M 50S
10,11,42M 12S
10,13,41M 49S
10,15,41M 2S
12,15,40M 43S
14,15,40M 1S
16,15,39M 23S
18,15,38M 55S
21,15,37M 35S
21,17,36M 59S
23,17,36M 49S
25,17,36M 35S
25,19,36M 22S
28,19,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,22,35M 36S
28,24,35M 5S
30,24,34M 49S
30,25,34M 27S
30,26,34M 27S
30,28,33M 59S
33,28,33M 53S
34,28,32M 54S
35,28,32M 54S
35,30,32M 29S
35,32,32M 2S
37,32,31M 50S
40,32,31M 16S
40,34,30M 56S
40,36,30M 14S
40,38,29M 41S
40,41,28M 39S
43,41,28M 24S
44,41,27M 52S
45,41,27M 52S
45,44,27M 5S
45,46,26M 41S
47,46,26M 31S
47,48,26M 10S
47,50,25M 36S
49,50,25M 17S
49,52,24M 51S
52,52,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,54,23M 18S
55,54,23M 3S
55,56,22M 25S
55,58,21M 58S
57,58,21M 39S
59,58,20M 18S
62,58,19M 51S
62,59,19M 32S
64,59,19M 5S
66,59,18M 31S
68,59,17M 7S
70,59,16M 39S
70,61,15M 57S
73,61,15M 50S
73,64,15M 30S
75,64,15M 16S
75,66,14M 55S
78,66,14M 44S
78,68,13M 53S
78,70,13M 42S
79,70,12M 39S
80,70,12M 39S
82,70,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,70,11M 38S
84,72,11M 17S
87,72,11M 2S
87,74,10M 2S
89,74,9M 47S
89,75,9M 29S
89,76,9M 29S
89,78,8M 17S
91,78,8M 3S
94,78,7M 44S
95,78,7M 44S
95,79,6M 6S
95,80,6M 6S
97,80,5M 44S
99,80,5M 8S
99,81,4M 30S
99,82,4M 30S
100,82,4M 7S
101,82,4M 7S
101,84,3M 43S
103,84,3M 22S
103,86,2M 58S
103,88,2M 24S
106,88,1M 57S
106,91,1M 23S
109,91,59S
109,93,48S
111,93,26S
111,94,16S
111,95,16S
End of 4th quarter,NA,0S
