Charlotte,Orlando,time_rem
7-10,8-10,48M 0S
3,0,47M 43S
3,3,47M 28S
5,3,46M 56S
7,3,44M 4S
7,6,43M 30S
9,6,43M 19S
9,8,42M 41S
11,8,42M 18S
13,8,41M 49S
13,10,41M 32S
16,10,41M 8S
16,11,40M 39S
16,12,40M 39S
19,12,40M 27S
19,15,40M 5S
21,15,39M 42S
22,15,39M 42S
24,15,39M 19S
26,15,38M 44S
29,15,37M 46S
30,15,37M 17S
30,17,36M 43S
30,18,36M 20S
30,19,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,21,34M 54S
30,24,34M 28S
30,27,33M 54S
32,27,33M 35S
32,28,33M 23S
32,29,33M 23S
32,30,33M 23S
32,33,32M 15S
32,35,31M 52S
34,35,31M 38S
34,36,31M 14S
34,37,31M 14S
36,37,30M 40S
36,39,30M 28S
37,39,30M 22S
37,41,30M 9S
39,41,29M 52S
39,43,29M 40S
41,43,29M 20S
41,45,28M 35S
41,48,28M 23S
41,50,27M 28S
44,50,27M 19S
44,52,27M 1S
46,52,26M 22S
46,55,26M 7S
49,55,25M 39S
51,55,25M 23S
53,55,24M 37S
54,55,24M 37S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,58,23M 20S
54,60,22M 48S
56,60,22M 36S
56,62,22M 15S
59,62,21M 53S
60,62,21M 29S
61,62,21M 29S
61,65,21M 17S
61,66,20M 23S
61,68,20M 5S
61,71,19M 33S
61,74,18M 45S
63,74,18M 30S
63,77,18M 12S
63,80,17M 27S
63,83,17M 0S
64,83,16M 46S
65,83,16M 46S
67,83,16M 5S
69,83,15M 32S
70,83,14M 59S
72,83,14M 30S
74,83,13M 43S
74,85,13M 21S
74,87,12M 44S
76,87,12M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,87,11M 44S
78,90,11M 28S
78,92,11M 3S
81,92,10M 56S
81,94,10M 13S
84,94,9M 53S
84,97,9M 33S
86,97,8M 42S
88,97,7M 51S
88,98,7M 29S
88,99,7M 29S
91,99,7M 1S
91,101,6M 47S
94,101,6M 9S
94,104,5M 50S
94,106,5M 19S
95,106,5M 8S
95,108,4M 50S
96,108,4M 37S
96,110,4M 22S
98,110,4M 3S
99,110,3M 20S
100,110,3M 20S
100,113,3M 7S
100,115,2M 26S
101,115,2M 10S
102,115,2M 10S
103,115,1M 55S
104,115,1M 55S
105,115,1M 45S
106,115,1M 45S
108,115,36S
108,116,32S
108,117,20S
End of 4th quarter,NA,0S
