Detroit,San Antonio,time_rem
18-42,29-29,48M 0S
0,0,47M 44S
1,0,47M 4S
4,0,46M 31S
4,2,45M 44S
4,5,44M 47S
4,7,43M 43S
7,7,43M 34S
7,9,43M 21S
7,11,42M 44S
9,11,42M 22S
9,12,42M 2S
9,13,42M 2S
10,13,41M 51S
12,13,41M 9S
14,13,40M 47S
14,16,39M 52S
16,16,39M 30S
16,18,39M 5S
18,18,38M 51S
20,18,38M 17S
20,21,37M 57S
23,21,37M 39S
23,24,37M 3S
25,24,36M 48S
25,25,36M 3S
25,26,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,26,35M 36S
29,26,34M 53S
31,26,34M 18S
31,28,33M 54S
31,30,33M 26S
31,32,32M 56S
33,32,32M 19S
33,34,31M 52S
33,36,31M 20S
33,38,30M 49S
33,40,30M 23S
33,42,29M 40S
35,42,29M 15S
37,42,28M 30S
37,44,28M 9S
39,44,27M 45S
39,46,26M 47S
41,46,26M 26S
41,48,26M 11S
44,48,25M 49S
44,50,25M 30S
44,53,24M 42S
46,53,24M 32S
47,53,24M 32S
47,54,24M 11S
47,55,24M 11S
47,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,57,23M 16S
49,60,22M 59S
51,60,22M 43S
51,61,22M 27S
51,62,22M 27S
51,64,21M 43S
Jump ball: L. Šamanić vs. S. Doumbouya (K. Johnson gains possession),NA,21M 20S
51,66,20M 47S
53,66,20M 25S
53,68,19M 34S
54,68,19M 2S
55,68,19M 2S
55,71,18M 45S
58,71,18M 28S
60,71,17M 50S
63,71,17M 28S
64,71,17M 28S
66,71,17M 13S
67,71,16M 42S
68,71,16M 42S
68,74,15M 52S
68,75,15M 13S
68,76,15M 13S
68,77,14M 34S
68,78,14M 34S
68,80,13M 43S
70,80,12M 25S
70,82,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,82,11M 11S
74,82,10M 13S
74,84,9M 53S
77,84,9M 20S
79,84,8M 42S
81,84,7M 20S
81,86,7M 4S
81,89,6M 26S
82,89,5M 26S
82,92,5M 8S
82,93,4M 49S
82,94,4M 49S
82,97,4M 26S
83,97,3M 49S
83,98,3M 32S
83,99,3M 32S
85,99,3M 18S
85,100,3M 10S
86,100,3M 0S
86,101,2M 52S
86,102,2M 52S
86,104,2M 22S
88,104,1M 42S
89,104,1M 42S
89,105,24S
89,106,24S
91,106,16S
End of 4th quarter,NA,0S
