Charlotte,Phoenix,time_rem
15-16,20-11,48M 0S
0,0,47M 46S
0,1,47M 46S
2,1,47M 35S
3,1,47M 35S
5,1,46M 53S
5,3,46M 39S
7,3,46M 22S
7,6,46M 6S
8,6,45M 52S
9,6,45M 52S
9,8,45M 39S
9,10,45M 23S
9,13,44M 52S
11,13,44M 30S
12,13,44M 30S
12,16,44M 19S
14,16,44M 8S
16,16,43M 33S
16,18,43M 11S
16,20,42M 54S
16,22,42M 38S
16,24,41M 53S
18,24,41M 6S
18,27,40M 59S
20,27,40M 42S
22,27,40M 10S
22,29,39M 49S
22,32,39M 26S
22,34,38M 42S
23,34,38M 36S
24,34,38M 36S
24,37,38M 14S
26,37,37M 52S
27,37,37M 52S
29,37,37M 18S
32,37,36M 48S
33,37,36M 27S
34,37,36M 27S
34,38,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,40,35M 10S
34,43,34M 46S
36,43,34M 28S
37,43,34M 17S
38,43,34M 17S
38,45,33M 46S
38,46,33M 46S
38,49,33M 6S
40,49,32M 59S
40,51,32M 9S
40,53,31M 52S
40,55,31M 32S
40,57,30M 2S
41,57,29M 46S
42,57,29M 46S
44,57,29M 24S
47,57,29M 2S
47,58,28M 44S
49,58,28M 31S
49,61,28M 20S
52,61,28M 7S
52,63,27M 43S
54,63,27M 27S
57,63,27M 12S
57,64,26M 57S
58,64,26M 48S
59,64,26M 48S
59,66,26M 8S
62,66,25M 52S
63,66,25M 26S
63,67,24M 46S
66,67,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,67,23M 49S
70,67,23M 18S
73,67,22M 50S
73,69,22M 10S
73,71,21M 33S
73,74,20M 17S
73,75,20M 17S
75,75,20M 7S
75,77,19M 44S
77,77,19M 35S
80,77,18M 31S
83,77,18M 9S
83,78,17M 45S
83,79,17M 45S
85,79,17M 6S
86,79,17M 6S
86,80,16M 48S
86,81,16M 48S
88,81,16M 38S
88,82,16M 25S
88,83,16M 25S
90,83,16M 4S
90,85,15M 45S
90,87,15M 13S
93,87,14M 53S
94,87,14M 21S
95,87,14M 21S
97,87,13M 56S
97,88,13M 56S
97,91,12M 50S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,91,11M 22S
99,94,10M 54S
99,95,10M 31S
101,95,10M 17S
103,95,10M 2S
103,97,9M 38S
103,99,9M 21S
104,99,9M 21S
107,99,9M 4S
Jump ball: P. Washington vs. D. Booker (G. Hayward gains possession),NA,8M 12S
110,99,6M 49S
110,101,6M 33S
110,103,5M 52S
110,106,5M 0S
110,108,4M 12S
110,110,3M 39S
112,110,3M 32S
115,110,3M 0S
117,110,2M 23S
117,112,2M 5S
117,113,2M 5S
119,113,1M 45S
120,113,48S
120,115,38S
121,115,34S
122,115,34S
122,118,32S
122,119,32S
122,120,6S
123,120,5S
124,120,5S
124,121,2S
End of 4th quarter,NA,0S
