Miami,Boston,time_rem
37-31,35-33,48M 0S
0,0,47M 41S
1,0,46M 44S
2,0,46M 44S
2,2,46M 29S
4,2,46M 14S
4,4,45M 52S
6,4,45M 43S
9,4,45M 15S
9,6,44M 16S
9,8,43M 40S
12,8,43M 5S
14,8,42M 37S
17,8,42M 13S
18,8,42M 1S
19,8,42M 1S
19,10,41M 42S
19,12,40M 51S
21,12,40M 37S
21,13,40M 16S
21,14,40M 16S
23,14,39M 14S
23,16,38M 56S
25,16,38M 37S
28,16,37M 56S
28,19,37M 34S
30,19,37M 9S
30,20,36M 54S
30,21,36M 54S
33,21,36M 44S
33,22,36M 35S
33,23,36M 35S
36,23,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,25,35M 45S
38,25,35M 29S
40,25,34M 45S
40,27,33M 50S
42,27,33M 32S
42,29,33M 5S
45,29,32M 18S
45,31,32M 5S
48,31,31M 42S
48,33,31M 28S
50,33,31M 17S
50,35,31M 9S
52,35,30M 44S
52,37,30M 32S
54,37,30M 8S
55,37,29M 49S
56,37,29M 49S
56,39,29M 26S
Jump ball: B. Adebayo vs. M. Smart (D. Robinson gains possession),NA,29M 5S
59,39,29M 1S
59,42,28M 46S
61,42,27M 49S
62,42,27M 49S
62,43,27M 23S
63,43,27M 3S
64,43,27M 3S
64,46,26M 51S
66,46,26M 40S
67,46,26M 40S
69,46,26M 21S
72,46,25M 50S
72,49,25M 32S
73,49,25M 14S
74,49,25M 14S
74,51,24M 54S
76,51,24M 36S
76,53,24M 25S
79,53,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
79,54,23M 43S
79,55,23M 43S
79,58,23M 19S
79,59,22M 51S
79,60,22M 51S
80,60,22M 34S
83,60,21M 12S
83,63,20M 54S
83,65,20M 6S
83,67,19M 40S
83,68,19M 40S
85,68,19M 19S
85,69,19M 2S
85,70,19M 2S
87,70,18M 49S
87,72,18M 27S
87,75,17M 55S
89,75,17M 1S
92,75,16M 26S
92,77,16M 9S
92,78,15M 41S
95,78,15M 26S
95,80,15M 8S
96,80,14M 58S
97,80,14M 58S
99,80,14M 28S
99,81,14M 23S
99,82,14M 23S
101,82,14M 10S
101,84,13M 50S
103,84,13M 29S
105,84,13M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
107,84,11M 46S
107,86,11M 12S
107,89,10M 52S
107,91,10M 28S
107,94,9M 49S
107,95,9M 12S
107,96,9M 12S
109,96,8M 58S
111,96,8M 20S
111,98,7M 23S
111,101,6M 56S
113,101,6M 31S
113,103,6M 12S
113,105,5M 25S
113,107,4M 51S
116,107,4M 31S
116,109,3M 41S
117,109,3M 22S
118,109,3M 22S
118,112,3M 2S
121,112,2M 42S
123,112,2M 1S
123,115,1M 46S
125,115,1M 23S
125,118,1M 14S
127,118,56S
Jump ball: M. Smart vs. J. Butler (T. Ariza gains possession),NA,24S
127,119,24S
128,119,21S
128,121,15S
129,121,14S
130,121,14S
130,124,5S
End of 4th quarter,NA,0S
