Brooklyn,Orlando,time_rem
28-14,14-27,48M 0S
0,0,47M 39S
0,1,47M 39S
1,1,47M 2S
2,1,47M 2S
2,3,46M 20S
4,3,46M 3S
5,3,46M 3S
5,6,45M 50S
5,8,45M 18S
7,8,45M 13S
9,8,44M 51S
9,10,44M 36S
11,10,43M 55S
11,13,43M 40S
11,15,43M 10S
13,15,42M 52S
13,16,42M 28S
15,16,42M 14S
15,19,41M 54S
15,22,41M 20S
18,22,40M 52S
18,25,40M 35S
20,25,40M 1S
22,25,39M 39S
25,25,39M 3S
25,28,38M 44S
27,28,38M 24S
27,31,37M 51S
27,32,37M 51S
27,34,37M 12S
29,34,36M 59S
29,35,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,37,35M 33S
31,37,35M 24S
31,39,34M 56S
32,39,34M 48S
32,42,34M 6S
34,42,33M 21S
34,45,32M 42S
36,45,32M 12S
36,48,31M 9S
38,48,30M 56S
40,48,30M 15S
40,50,29M 57S
41,50,29M 43S
41,52,29M 27S
43,52,29M 17S
46,52,28M 21S
47,52,27M 48S
48,52,27M 48S
49,52,27M 48S
49,55,27M 28S
51,55,27M 15S
51,58,26M 59S
53,58,26M 34S
53,60,26M 11S
56,60,25M 56S
56,63,25M 37S
58,63,25M 23S
58,64,25M 5S
60,64,24M 55S
62,64,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,64,23M 43S
65,67,23M 25S
65,69,22M 38S
67,69,22M 28S
67,71,22M 13S
67,72,22M 13S
67,75,21M 45S
68,75,21M 33S
69,75,21M 33S
69,76,21M 18S
69,77,21M 18S
71,77,20M 29S
71,79,19M 37S
74,79,19M 19S
74,81,19M 0S
74,83,18M 16S
74,85,17M 48S
76,85,17M 29S
76,88,16M 51S
76,91,16M 17S
76,92,15M 51S
76,93,15M 51S
78,93,15M 14S
78,95,14M 51S
80,95,14M 37S
80,97,13M 37S
82,97,13M 26S
83,97,13M 26S
83,100,12M 35S
84,100,12M 24S
84,103,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,103,11M 21S
88,103,11M 1S
89,103,11M 1S
91,103,10M 42S
93,103,10M 22S
95,103,9M 54S
95,104,9M 22S
97,104,9M 6S
98,104,8M 27S
100,104,7M 32S
100,105,7M 11S
100,106,7M 11S
100,108,5M 37S
101,108,5M 6S
102,108,5M 6S
102,111,4M 11S
105,111,3M 59S
105,112,3M 15S
105,114,2M 5S
108,114,1M 57S
108,117,1M 39S
108,119,1M 16S
110,119,39S
110,121,32S
113,121,29S
End of 4th quarter,NA,0S
