Boston,Brooklyn,time_rem
32-28,40-20,48M 0S
0,0,47M 43S
0,2,47M 36S
3,2,47M 23S
6,2,46M 55S
9,2,46M 22S
9,4,46M 1S
9,5,46M 1S
9,8,44M 50S
10,8,44M 4S
12,8,43M 52S
12,10,43M 7S
12,12,42M 32S
13,12,42M 20S
13,13,42M 2S
13,14,42M 2S
14,14,41M 46S
15,14,41M 46S
17,14,41M 12S
19,14,40M 44S
19,16,40M 23S
20,16,39M 55S
20,17,39M 43S
20,18,39M 43S
22,18,39M 20S
24,18,38M 54S
25,18,38M 54S
25,19,38M 37S
25,21,37M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,21,35M 33S
28,24,35M 19S
28,26,34M 43S
28,28,34M 14S
28,30,33M 56S
28,33,33M 30S
31,33,32M 46S
31,36,31M 45S
31,39,30M 58S
33,39,30M 42S
33,42,30M 32S
35,42,30M 17S
35,45,30M 5S
38,45,29M 45S
38,47,29M 32S
41,47,29M 8S
41,48,28M 46S
41,49,28M 46S
41,51,27M 48S
41,53,27M 20S
41,55,26M 58S
42,55,26M 39S
44,55,26M 10S
44,57,25M 58S
46,57,25M 29S
46,60,25M 10S
48,60,24M 36S
51,60,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,62,23M 46S
51,63,23M 46S
51,64,23M 25S
51,65,23M 25S
54,65,23M 12S
56,65,22M 14S
56,67,22M 0S
58,67,21M 46S
Jump ball: T. Thompson vs. D. Jordan (A. Nesmith gains possession),NA,21M 21S
60,67,21M 3S
60,68,20M 12S
60,69,20M 12S
63,69,20M 2S
63,70,19M 25S
63,71,19M 25S
63,72,19M 1S
63,74,18M 40S
65,74,18M 5S
67,74,16M 40S
67,76,16M 27S
70,76,15M 40S
70,78,14M 4S
70,79,13M 36S
70,80,13M 36S
70,83,13M 15S
70,86,12M 53S
73,86,12M 27S
73,88,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,88,11M 43S
75,90,11M 25S
77,90,11M 0S
77,92,10M 37S
77,94,10M 9S
79,94,9M 26S
Jump ball: J. Parker vs. D. Jordan (G. Williams gains possession),NA,7M 47S
81,94,7M 19S
81,96,6M 23S
84,96,6M 2S
84,98,5M 35S
87,98,5M 18S
88,98,4M 39S
89,98,4M 39S
92,98,3M 59S
95,98,3M 32S
95,101,3M 9S
95,103,2M 55S
97,103,2M 1S
98,103,2M 1S
99,103,30S
99,104,26S
99,105,26S
101,105,6S
101,106,5S
101,107,5S
104,107,3S
104,108,1S
104,109,1S
End of 4th quarter,NA,0S
