Phoenix,Indiana,time_rem
7-3,6-3,48M 0S
0,0,47M 42S
2,0,47M 18S
2,3,47M 7S
4,3,46M 28S
7,3,45M 55S
7,6,45M 40S
7,8,44M 17S
10,8,44M 2S
10,11,43M 45S
13,11,43M 27S
13,13,43M 14S
15,13,42M 55S
15,15,42M 37S
17,15,42M 29S
17,17,42M 18S
19,17,42M 3S
19,19,41M 49S
19,21,41M 16S
22,21,40M 22S
22,22,39M 57S
22,24,39M 34S
22,26,39M 9S
22,27,39M 9S
24,27,38M 56S
26,27,38M 37S
26,30,37M 43S
28,30,37M 31S
28,32,36M 29S
30,32,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,32,35M 38S
32,34,35M 17S
35,34,35M 7S
35,37,33M 51S
37,37,33M 36S
37,39,33M 18S
40,39,32M 34S
43,39,31M 37S
43,40,31M 21S
43,41,31M 21S
45,41,30M 46S
45,43,30M 23S
45,44,30M 23S
45,46,29M 56S
45,49,28M 48S
47,49,27M 56S
49,49,26M 59S
52,49,25M 57S
52,50,25M 33S
54,50,25M 21S
55,50,25M 3S
56,50,25M 3S
56,53,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,53,23M 28S
60,53,22M 56S
61,53,22M 56S
61,54,22M 41S
61,56,22M 3S
61,58,21M 36S
62,58,21M 8S
63,58,21M 8S
63,60,20M 57S
65,60,20M 43S
65,61,20M 28S
67,61,20M 8S
68,61,20M 8S
68,64,19M 41S
71,64,19M 16S
71,66,18M 9S
71,68,17M 36S
73,68,17M 18S
73,70,17M 3S
73,71,17M 3S
75,71,16M 47S
76,71,16M 47S
76,73,16M 37S
79,73,16M 21S
79,75,16M 8S
79,77,16M 4S
82,77,15M 41S
82,79,15M 25S
83,79,15M 17S
84,79,15M 17S
84,81,15M 4S
84,82,14M 36S
86,82,14M 0S
88,82,12M 57S
88,84,12M 45S
88,87,12M 33S
89,87,12M 17S
90,87,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,87,11M 48S
92,89,11M 33S
95,89,11M 14S
95,91,10M 54S
97,91,10M 44S
98,91,10M 44S
98,92,10M 36S
98,94,10M 7S
98,95,9M 38S
98,96,9M 38S
100,96,8M 18S
102,96,7M 56S
104,96,7M 31S
106,96,6M 52S
109,96,5M 49S
109,98,5M 30S
111,98,5M 13S
111,100,4M 51S
112,100,4M 27S
113,100,4M 27S
115,100,3M 54S
115,103,3M 36S
115,104,2M 45S
115,105,2M 45S
118,105,2M 23S
118,107,2M 9S
118,108,1M 23S
118,109,1M 23S
121,109,1M 7S
Jump ball: M. Turner vs. D. Ayton (M. Brogdon gains possession),NA,54S
121,112,46S
123,112,27S
123,115,20S
124,115,12S
125,115,12S
125,117,3S
End of 4th quarter,NA,0S
