Denver,Portland,time_rem
2-2,2-2,48M 0S
0,2,47M 40S
0,4,47M 17S
0,6,46M 38S
3,6,46M 25S
3,7,45M 36S
3,8,45M 36S
5,8,44M 53S
7,8,43M 57S
7,11,43M 41S
10,11,43M 32S
10,14,43M 13S
13,14,42M 49S
13,15,42M 36S
13,17,41M 40S
13,20,41M 15S
13,23,40M 36S
15,23,40M 13S
15,25,39M 22S
16,25,39M 15S
19,25,38M 51S
19,26,38M 29S
19,27,38M 29S
21,27,38M 18S
21,30,37M 50S
23,30,37M 33S
23,32,37M 15S
24,32,36M 56S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,32,34M 17S
26,34,33M 58S
29,34,33M 31S
32,34,33M 3S
32,36,32M 25S
34,36,32M 8S
36,36,31M 30S
36,38,31M 10S
36,40,29M 27S
36,42,28M 57S
38,42,28M 30S
39,42,28M 2S
40,42,28M 2S
40,45,27M 29S
40,48,26M 56S
40,50,26M 37S
40,52,26M 3S
43,52,25M 51S
43,55,25M 6S
45,55,24M 44S
46,55,24M 10S
47,55,24M 10S
47,56,24M 2S
47,57,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,59,23M 38S
47,60,23M 38S
47,61,23M 14S
47,62,23M 14S
47,64,22M 54S
47,67,22M 32S
49,67,22M 20S
49,69,22M 3S
51,69,21M 48S
51,70,21M 5S
51,72,19M 40S
51,73,19M 14S
54,73,18M 45S
54,75,18M 18S
56,75,18M 8S
56,76,17M 55S
56,78,16M 48S
56,79,16M 7S
56,80,16M 7S
56,82,15M 43S
58,82,15M 17S
58,85,15M 0S
58,88,14M 25S
58,89,14M 23S
58,91,13M 55S
59,91,13M 41S
60,91,13M 41S
61,91,13M 12S
61,93,12M 54S
63,93,12M 39S
65,93,12M 24S
66,93,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,96,11M 2S
68,96,10M 41S
69,96,10M 41S
69,98,10M 21S
69,99,10M 21S
72,99,8M 47S
75,99,8M 23S
76,99,7M 54S
77,99,7M 54S
78,99,7M 54S
78,101,7M 40S
80,101,6M 41S
80,103,6M 24S
82,103,6M 11S
82,105,5M 52S
83,105,4M 24S
84,105,4M 24S
84,106,3M 22S
87,106,3M 7S
87,108,2M 48S
88,108,2M 31S
89,108,2M 31S
89,110,2M 14S
92,110,1M 58S
92,112,1M 50S
95,112,46S
95,113,31S
95,115,20S
End of 4th quarter,NA,0S
