Washington,Minnesota,time_rem
1-5,2-3,48M 0S
3,0,47M 47S
5,0,47M 18S
5,3,47M 5S
8,3,46M 28S
10,3,46M 7S
11,3,46M 7S
11,5,45M 57S
13,5,45M 44S
13,7,45M 32S
16,7,45M 21S
16,9,45M 5S
17,9,44M 35S
17,11,44M 4S
19,11,43M 22S
21,11,42M 36S
21,13,41M 13S
21,15,40M 44S
23,15,40M 30S
23,17,40M 13S
25,17,40M 0S
25,19,39M 46S
27,19,39M 35S
27,22,39M 24S
29,22,39M 7S
29,23,38M 49S
29,25,38M 12S
32,25,37M 41S
34,25,37M 15S
37,25,36M 54S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,25,35M 34S
39,28,35M 2S
40,28,34M 15S
41,28,34M 15S
41,30,33M 26S
43,30,33M 18S
46,30,32M 53S
46,31,32M 8S
46,33,31M 48S
46,36,31M 14S
48,36,29M 27S
48,38,29M 12S
48,39,29M 12S
49,39,29M 1S
49,41,28M 42S
51,41,28M 9S
51,42,27M 54S
51,43,27M 54S
51,46,27M 26S
53,46,27M 14S
53,49,26M 35S
55,49,26M 19S
56,49,26M 19S
56,51,26M 1S
56,52,26M 1S
58,52,25M 43S
58,55,25M 27S
60,55,24M 49S
60,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,57,23M 22S
66,57,22M 42S
69,57,22M 27S
69,60,22M 3S
70,60,21M 47S
71,60,21M 47S
71,62,21M 29S
71,63,21M 11S
71,64,21M 11S
73,64,20M 57S
75,64,20M 11S
77,64,18M 43S
77,66,18M 26S
78,66,18M 11S
79,66,18M 11S
80,66,17M 47S
81,66,17M 47S
83,66,17M 18S
85,66,16M 32S
86,66,16M 32S
89,66,16M 13S
92,66,15M 55S
92,67,15M 45S
95,67,15M 26S
95,69,15M 9S
97,69,14M 56S
98,69,14M 56S
98,71,13M 41S
100,71,12M 58S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,71,11M 41S
102,72,11M 27S
102,73,11M 27S
105,73,10M 50S
107,73,10M 29S
108,73,10M 29S
108,76,10M 20S
108,78,10M 9S
110,78,9M 51S
110,80,9M 37S
112,80,9M 27S
113,80,9M 27S
115,80,9M 5S
117,80,8M 22S
117,82,8M 6S
117,85,7M 58S
120,85,7M 8S
120,88,6M 54S
122,88,6M 36S
122,90,5M 27S
124,90,4M 44S
124,92,4M 28S
124,94,4M 4S
124,96,3M 38S
Jump ball: I. Bonga vs. J. McLaughlin (J. Robinson gains possession),NA,3M 21S
127,96,3M 13S
127,98,3M 3S
127,100,2M 23S
127,102,1M 32S
127,103,1M 32S
130,103,1M 21S
130,106,45S
130,109,12S
End of 4th quarter,NA,0S
