Miami,LA Lakers,time_rem
13-17,22-9,48M 0S
2,0,47M 41S
3,0,47M 17S
4,0,47M 17S
4,3,46M 50S
6,3,46M 25S
6,4,46M 19S
6,5,46M 19S
6,7,45M 56S
6,9,45M 39S
8,9,45M 19S
8,10,45M 8S
10,10,44M 53S
12,10,44M 30S
14,10,44M 6S
16,10,43M 38S
19,10,42M 50S
19,12,41M 56S
21,12,41M 36S
21,14,41M 19S
23,14,40M 23S
23,17,39M 47S
23,19,39M 14S
25,19,38M 51S
28,19,38M 27S
31,19,38M 1S
31,21,37M 47S
33,21,37M 33S
36,21,36M 56S
36,22,36M 28S
36,23,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,26,35M 25S
38,26,35M 0S
38,27,34M 58S
38,28,34M 58S
38,30,34M 30S
38,31,34M 30S
39,31,33M 52S
40,31,33M 52S
42,31,33M 24S
42,33,33M 17S
42,34,33M 17S
44,34,32M 57S
46,34,31M 10S
46,37,30M 51S
48,37,30M 6S
48,39,29M 8S
50,39,28M 37S
53,39,27M 59S
53,42,27M 36S
53,44,27M 3S
54,44,26M 48S
55,44,26M 48S
57,44,26M 10S
57,45,25M 58S
57,46,25M 58S
59,46,25M 41S
59,49,24M 40S
59,52,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,55,22M 56S
59,57,22M 30S
61,57,21M 37S
63,57,21M 15S
63,60,21M 7S
63,63,20M 17S
63,66,19M 44S
65,66,18M 23S
67,66,17M 59S
70,66,17M 30S
72,66,16M 49S
74,66,15M 41S
75,66,15M 5S
76,66,15M 5S
76,69,14M 28S
78,69,14M 8S
79,69,13M 41S
79,70,13M 34S
79,71,13M 34S
80,71,13M 20S
81,71,13M 20S
81,73,13M 3S
81,75,12M 40S
81,77,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,77,10M 59S
86,77,10M 38S
86,79,9M 56S
89,79,9M 2S
89,81,8M 38S
89,83,5M 38S
89,84,4M 51S
91,84,4M 34S
91,87,3M 47S
92,87,3M 5S
92,89,2M 41S
93,89,1M 39S
94,89,1M 39S
94,91,1M 28S
94,92,1M 28S
95,92,12S
96,92,12S
96,94,8S
End of 4th quarter,NA,0S
