Minnesota,Toronto,time_rem
7-20,12-15,48M 0S
0,0,47M 45S
0,3,47M 12S
2,3,47M 2S
3,3,46M 48S
4,3,46M 48S
4,5,46M 27S
6,5,46M 16S
6,8,45M 52S
8,8,44M 38S
8,9,43M 28S
8,10,43M 28S
11,10,43M 10S
14,10,42M 47S
14,12,42M 34S
17,12,42M 22S
20,12,41M 47S
20,14,41M 10S
22,14,40M 36S
22,17,40M 13S
24,17,39M 50S
24,19,39M 31S
24,20,39M 15S
24,21,39M 15S
24,22,37M 17S
24,23,37M 17S
27,23,36M 58S
27,25,36M 17S
27,26,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,26,35M 40S
30,28,35M 18S
32,28,34M 51S
32,30,33M 50S
32,32,33M 23S
34,32,33M 2S
34,35,32M 26S
35,35,31M 57S
37,35,31M 47S
39,35,31M 13S
39,37,30M 21S
39,39,29M 35S
39,40,29M 35S
41,40,28M 53S
41,43,27M 41S
44,43,27M 23S
44,46,27M 6S
46,46,26M 23S
46,48,26M 7S
48,48,25M 47S
48,50,25M 32S
51,50,25M 19S
51,52,25M 8S
51,54,24M 41S
51,55,24M 41S
52,55,24M 33S
52,58,24M 27S
54,58,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,58,23M 37S
56,60,22M 57S
59,60,21M 56S
59,62,21M 45S
62,62,21M 31S
64,62,21M 4S
64,64,20M 48S
64,66,20M 32S
64,68,19M 56S
67,68,19M 4S
67,70,18M 4S
69,70,17M 48S
69,71,17M 43S
69,72,17M 43S
71,72,17M 31S
71,74,17M 12S
74,74,17M 1S
74,77,16M 48S
77,77,16M 33S
79,77,16M 1S
81,77,15M 41S
81,78,15M 14S
81,79,15M 14S
83,79,15M 1S
85,79,14M 41S
86,79,14M 19S
87,79,14M 13S
89,79,13M 51S
91,79,13M 4S
91,80,12M 39S
91,81,12M 39S
91,83,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,83,11M 23S
93,85,11M 5S
93,86,10M 32S
93,87,10M 32S
96,87,10M 18S
Jump ball: K. Lowry vs. J. Hernangómez (D. Bembry gains possession),NA,10M 1S
96,90,9M 51S
96,92,9M 5S
96,93,8M 34S
96,94,8M 34S
96,96,7M 27S
97,96,6M 31S
98,96,6M 31S
98,97,6M 22S
98,98,6M 22S
100,98,5M 32S
103,98,5M 3S
105,98,4M 43S
105,101,4M 34S
105,103,4M 7S
107,103,3M 48S
107,104,3M 30S
107,105,3M 30S
110,105,3M 16S
111,105,2M 9S
111,106,1M 49S
111,107,1M 19S
112,107,59S
112,109,38S
112,110,38S
113,110,22S
114,110,22S
114,112,15S
115,112,3S
116,112,3S
End of 4th quarter,NA,0S
