Orlando,Dallas,time_rem
6-4,5-4,48M 0S
2,0,47M 37S
4,0,47M 7S
4,2,46M 36S
6,2,46M 22S
8,2,45M 56S
8,4,45M 31S
10,4,45M 18S
10,6,45M 3S
10,9,44M 25S
10,11,43M 28S
10,12,43M 28S
12,12,43M 12S
12,14,42M 56S
14,14,42M 42S
14,17,42M 25S
14,20,41M 35S
14,22,41M 13S
16,22,40M 58S
16,25,40M 41S
18,25,40M 24S
19,25,39M 19S
19,27,39M 6S
20,27,38M 53S
21,27,38M 53S
21,28,38M 41S
21,30,38M 5S
22,30,37M 47S
24,30,37M 36S
24,33,37M 23S
24,36,37M 1S
25,36,36M 40S
26,36,36M 40S
27,36,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,38,35M 19S
29,38,34M 58S
31,38,34M 28S
33,38,33M 4S
33,41,32M 2S
34,41,31M 49S
36,41,30M 47S
36,43,30M 37S
38,43,29M 28S
38,46,29M 11S
40,46,28M 33S
40,49,28M 20S
42,49,28M 6S
42,51,27M 52S
44,51,27M 36S
44,54,26M 47S
47,54,26M 25S
47,56,26M 11S
50,56,25M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,57,23M 49S
50,58,23M 49S
53,58,23M 30S
53,59,23M 5S
56,59,22M 10S
57,59,20M 48S
59,59,20M 36S
61,59,19M 59S
63,59,19M 32S
65,59,19M 7S
65,61,17M 49S
65,64,17M 14S
67,64,16M 51S
67,66,16M 39S
67,69,16M 11S
67,72,15M 26S
67,75,14M 38S
67,77,14M 5S
69,77,13M 46S
70,77,13M 46S
70,79,13M 35S
72,79,13M 19S
74,79,12M 48S
74,82,12M 31S
75,82,12M 5S
75,85,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,85,11M 43S
77,85,11M 43S
77,87,11M 18S
Jump ball: D. Powell vs. K. Birch (L. Dončić gains possession),NA,10M 18S
77,89,9M 25S
78,89,9M 6S
78,92,8M 47S
81,92,8M 29S
81,95,7M 8S
83,95,6M 53S
83,98,6M 23S
85,98,6M 3S
85,99,5M 48S
85,100,5M 48S
87,100,5M 13S
89,100,4M 43S
91,100,4M 24S
91,101,3M 36S
91,102,3M 36S
91,103,3M 0S
91,104,3M 0S
91,105,2M 14S
94,105,2M 6S
94,108,1M 49S
94,110,1M 16S
95,110,1M 4S
96,110,1M 4S
98,110,59S
98,111,52S
98,112,52S
End of 4th quarter,NA,0S
