New York,Indiana,time_rem
3-3,4-2,48M 0S
0,0,47M 46S
2,0,47M 39S
5,0,46M 43S
5,2,46M 4S
5,5,45M 45S
7,5,45M 30S
7,6,45M 16S
7,7,45M 16S
9,7,44M 21S
11,7,43M 52S
11,9,43M 30S
13,9,43M 7S
15,9,42M 27S
15,12,41M 52S
16,12,41M 37S
16,14,41M 23S
16,17,40M 58S
19,17,40M 30S
19,20,40M 4S
22,20,39M 34S
24,20,37M 57S
24,22,37M 46S
24,23,37M 46S
24,25,37M 14S
25,25,36M 25S
26,25,36M 25S
26,28,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,30,35M 41S
28,30,35M 22S
28,33,34M 16S
31,33,33M 46S
31,36,33M 9S
31,37,33M 9S
33,37,32M 58S
35,37,32M 33S
37,37,31M 55S
37,38,31M 44S
37,39,31M 44S
37,41,31M 5S
40,41,30M 22S
40,43,29M 39S
42,43,28M 46S
44,43,27M 40S
44,44,26M 56S
44,45,26M 28S
44,46,26M 28S
44,47,26M 28S
44,48,26M 10S
46,48,25M 46S
46,49,25M 9S
46,50,25M 9S
48,50,25M 0S
50,50,24M 43S
50,51,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,51,23M 30S
54,51,23M 4S
54,54,22M 43S
56,54,22M 24S
58,54,21M 41S
58,56,20M 53S
61,56,20M 30S
63,56,20M 6S
66,56,19M 35S
66,59,19M 21S
66,62,18M 48S
66,64,18M 3S
68,64,17M 50S
69,64,17M 50S
69,65,17M 33S
71,65,16M 58S
72,65,16M 58S
72,68,16M 10S
75,68,15M 18S
75,71,14M 51S
75,73,14M 31S
78,73,14M 13S
78,76,13M 44S
78,79,13M 9S
80,79,12M 52S
82,79,12M 9S
82,82,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,82,11M 39S
85,85,11M 26S
88,85,9M 3S
88,87,8M 18S
90,87,8M 0S
92,87,7M 40S
92,89,7M 23S
92,92,6M 35S
93,92,5M 38S
93,94,5M 2S
93,96,4M 29S
95,96,4M 4S
98,96,3M 23S
100,96,1M 32S
102,96,35S
Jump ball: M. Brogdon vs. I. Quickley (D. Sabonis gains possession),NA,18S
103,96,9S
104,96,9S
104,99,8S
105,99,6S
106,99,6S
106,102,1S
End of 4th quarter,NA,0S
