Sacramento,Orlando,time_rem
7-10,8-11,48M 0S
0,0,47M 50S
1,0,47M 23S
4,0,47M 1S
4,3,46M 47S
7,3,46M 2S
7,6,45M 41S
9,6,45M 33S
11,6,45M 2S
11,8,44M 39S
11,9,44M 39S
13,9,44M 30S
16,9,43M 59S
17,9,43M 37S
18,9,43M 37S
20,9,43M 1S
20,11,42M 3S
22,11,41M 50S
22,12,41M 28S
22,13,41M 28S
22,14,41M 28S
22,16,40M 42S
24,16,39M 41S
26,16,39M 15S
26,19,38M 58S
26,21,38M 25S
29,21,36M 59S
29,23,36M 37S
32,23,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,25,35M 39S
34,25,35M 14S
34,27,34M 52S
36,27,34M 39S
36,29,34M 18S
36,31,33M 3S
39,31,32M 55S
39,33,32M 33S
39,34,31M 19S
39,37,31M 12S
41,37,30M 54S
43,37,30M 25S
44,37,30M 25S
44,40,30M 5S
46,40,29M 47S
49,40,29M 27S
49,42,29M 8S
51,42,28M 50S
53,42,28M 18S
53,44,28M 5S
55,44,27M 48S
55,45,27M 36S
55,46,27M 36S
55,48,27M 2S
58,48,26M 44S
60,48,26M 10S
63,48,25M 47S
64,48,24M 56S
65,48,24M 56S
65,50,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,52,23M 40S
65,55,22M 55S
67,55,22M 41S
67,57,22M 23S
68,57,22M 0S
69,57,22M 0S
71,57,21M 36S
71,60,21M 10S
73,60,20M 51S
76,60,20M 11S
76,62,19M 51S
78,62,19M 38S
79,62,19M 27S
80,62,19M 27S
82,62,18M 52S
82,65,18M 31S
85,65,18M 13S
86,65,17M 45S
87,65,17M 45S
87,67,17M 29S
87,69,16M 48S
87,71,16M 22S
89,71,16M 6S
89,73,15M 37S
90,73,15M 30S
91,73,15M 30S
91,75,15M 16S
93,75,15M 0S
93,77,14M 15S
95,77,13M 21S
96,77,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,79,11M 38S
98,79,11M 29S
98,81,11M 12S
98,83,10M 51S
98,84,9M 10S
98,85,9M 10S
100,85,8M 58S
100,87,8M 41S
100,88,8M 41S
103,88,8M 22S
105,88,7M 59S
108,88,7M 33S
108,90,7M 15S
110,90,6M 54S
110,93,6M 39S
110,95,5M 42S
112,95,5M 31S
112,96,5M 18S
112,97,5M 18S
112,98,4M 55S
113,98,4M 44S
113,99,4M 7S
113,100,4M 7S
116,100,3M 41S
116,103,3M 23S
116,105,2M 52S
117,105,2M 30S
119,105,1M 47S
121,105,45S
121,106,39S
121,107,39S
End of 4th quarter,NA,0S
