Portland,Golden State,time_rem
3-2,2-3,48M 0S
0,2,47M 45S
3,2,46M 54S
3,4,46M 35S
6,4,45M 29S
9,4,45M 0S
12,4,44M 38S
12,7,44M 3S
15,7,43M 39S
17,7,43M 9S
19,7,42M 50S
20,7,42M 50S
22,7,41M 51S
22,9,41M 15S
23,9,41M 0S
26,9,40M 27S
29,9,39M 48S
29,11,39M 37S
31,11,38M 56S
31,12,38M 38S
31,13,38M 38S
Jump ball: K. Looney vs. E. Freedom (J. Toscano,Anderson gains possession),38M 19S
32,13,37M 48S
33,13,37M 48S
33,16,37M 36S
33,19,37M 10S
34,19,36M 54S
34,21,36M 15S
36,21,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,21,35M 45S
39,21,35M 45S
39,23,35M 31S
41,23,35M 18S
41,25,35M 7S
41,26,35M 7S
41,29,34M 38S
41,31,34M 13S
41,32,33M 47S
41,33,33M 47S
44,33,33M 33S
47,33,32M 51S
47,35,32M 33S
50,35,32M 16S
50,36,31M 24S
51,36,30M 17S
52,36,30M 17S
52,38,29M 35S
54,38,29M 20S
54,39,29M 0S
54,40,29M 0S
54,41,28M 39S
54,42,28M 39S
55,42,28M 13S
56,42,28M 13S
57,42,28M 13S
59,42,27M 15S
59,44,27M 1S
59,45,27M 1S
61,45,26M 47S
61,46,26M 15S
61,47,26M 15S
61,49,25M 43S
61,50,25M 20S
61,51,25M 20S
61,53,24M 58S
64,53,24M 36S
64,54,24M 26S
64,55,24M 26S
67,55,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,55,23M 43S
72,55,23M 19S
72,56,22M 12S
72,57,22M 12S
74,57,21M 50S
Jump ball: J. Wiseman vs. R. Covington (D. Green gains possession),NA,21M 29S
74,59,21M 28S
76,59,20M 58S
76,62,20M 17S
76,64,19M 41S
76,66,19M 23S
76,67,19M 23S
79,67,19M 7S
79,69,18M 54S
80,69,18M 39S
81,69,18M 39S
83,69,18M 2S
86,69,17M 38S
86,71,17M 21S
88,71,16M 56S
90,71,16M 31S
92,71,15M 56S
93,71,15M 56S
93,74,15M 28S
95,74,15M 10S
98,74,14M 45S
98,77,12M 58S
98,79,12M 23S
98,80,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,82,10M 34S
100,82,10M 14S
101,82,10M 14S
102,82,9M 25S
103,82,9M 25S
103,84,8M 16S
103,85,8M 16S
105,85,7M 37S
105,86,6M 31S
105,87,6M 31S
108,87,6M 10S
109,87,5M 38S
110,87,5M 38S
113,87,5M 5S
114,87,4M 46S
117,87,4M 13S
117,89,3M 26S
118,89,3M 21S
119,89,3M 21S
119,91,3M 0S
122,91,2M 40S
122,92,2M 8S
122,93,2M 8S
122,94,2M 8S
123,94,2M 7S
123,95,1M 50S
123,96,1M 50S
Jump ball: A. Simons vs. J. Poole (R. Covington gains possession),NA,1M 3S
123,98,21S
End of 4th quarter,NA,0S
