Phoenix,Atlanta,time_rem
47-19,37-30,48M 0S
0,0,47M 41S
0,2,47M 37S
2,2,47M 8S
2,4,46M 55S
4,4,46M 39S
4,6,46M 14S
7,6,45M 57S
7,7,45M 42S
7,8,45M 42S
9,8,45M 29S
9,11,45M 1S
11,11,44M 43S
11,13,44M 23S
12,13,44M 12S
12,15,43M 56S
14,15,43M 40S
14,17,43M 25S
17,17,43M 7S
19,17,42M 50S
19,18,42M 29S
19,19,42M 29S
21,19,42M 13S
22,19,41M 46S
23,19,41M 46S
23,22,41M 35S
25,22,41M 20S
28,22,40M 41S
28,24,40M 27S
30,24,39M 46S
30,26,39M 30S
32,26,39M 8S
32,29,38M 59S
32,30,38M 17S
33,30,38M 3S
33,33,37M 27S
33,36,36M 57S
35,36,36M 40S
35,39,36M 31S
38,39,36M 9S
38,42,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,42,35M 18S
41,43,34M 57S
41,44,34M 57S
41,46,34M 24S
41,48,33M 53S
44,48,33M 37S
44,50,32M 47S
44,52,32M 8S
46,52,31M 34S
46,54,30M 59S
46,56,30M 23S
48,56,29M 55S
51,56,29M 29S
52,56,29M 6S
53,56,29M 6S
56,56,28M 22S
56,58,27M 42S
58,58,27M 20S
58,59,26M 47S
58,60,26M 47S
58,62,26M 22S
60,62,25M 15S
60,65,25M 0S
61,65,24M 49S
62,65,24M 31S
63,65,24M 31S
63,67,24M 9S
64,67,24M 1S
65,67,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,67,23M 41S
68,69,23M 13S
68,71,22M 33S
70,71,21M 39S
70,73,20M 45S
70,75,20M 14S
71,75,19M 49S
72,75,19M 49S
72,77,19M 38S
72,80,19M 23S
74,80,19M 5S
74,81,18M 47S
74,82,18M 47S
74,84,18M 23S
74,86,18M 2S
76,86,17M 9S
78,86,16M 39S
78,89,15M 59S
80,89,15M 34S
80,91,14M 58S
83,91,14M 14S
83,93,14M 0S
83,95,13M 29S
86,95,13M 9S
86,97,12M 41S
87,97,12M 34S
88,97,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,99,11M 41S
88,101,11M 12S
88,103,10M 33S
88,104,9M 44S
88,105,9M 44S
88,108,9M 21S
88,111,8M 47S
88,113,8M 2S
89,113,7M 46S
90,113,7M 46S
90,115,7M 5S
91,115,5M 59S
92,115,5M 59S
92,117,5M 40S
92,119,5M 8S
92,121,4M 33S
92,123,4M 0S
92,126,3M 13S
93,126,2M 56S
94,126,2M 56S
94,128,2M 50S
97,128,2M 33S
97,129,2M 24S
98,129,1M 17S
99,129,1M 17S
99,130,1M 6S
99,131,1M 6S
100,131,54S
101,131,54S
101,133,42S
101,135,32S
103,135,18S
End of 4th quarter,NA,0S
