Brooklyn,Charlotte,time_rem
2-1,1-2,48M 0S
0,0,47M 38S
0,1,47M 7S
0,3,46M 8S
2,3,45M 41S
2,4,44M 38S
2,5,44M 38S
5,5,44M 28S
5,7,44M 7S
8,7,43M 45S
8,9,43M 28S
9,9,42M 50S
10,9,42M 50S
10,12,42M 35S
13,12,42M 25S
13,14,41M 24S
16,14,41M 11S
16,16,40M 53S
16,18,40M 12S
18,18,39M 52S
20,18,39M 29S
21,18,38M 44S
22,18,38M 44S
22,20,37M 47S
22,23,36M 58S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,23,35M 44S
26,23,34M 44S
26,25,34M 2S
26,27,33M 47S
29,27,33M 23S
29,29,32M 53S
30,29,31M 55S
30,30,31M 7S
33,30,30M 25S
33,32,29M 48S
35,32,29M 30S
35,35,29M 14S
37,35,28M 28S
37,37,28M 10S
39,37,27M 56S
42,37,27M 36S
42,39,27M 5S
42,40,26M 39S
44,40,26M 23S
46,40,26M 4S
46,42,25M 49S
46,44,25M 36S
48,44,25M 16S
48,45,25M 3S
48,46,25M 3S
49,46,24M 49S
50,46,24M 49S
50,48,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,48,23M 22S
52,50,23M 12S
52,52,22M 41S
52,54,22M 25S
55,54,22M 4S
55,56,21M 37S
55,59,20M 26S
58,59,20M 7S
58,61,19M 19S
60,61,18M 58S
60,64,18M 44S
60,66,18M 27S
60,67,18M 27S
61,67,18M 18S
63,67,17M 41S
63,69,17M 16S
66,69,17M 4S
66,71,16M 53S
69,71,16M 43S
72,71,16M 2S
72,74,15M 30S
73,74,14M 50S
74,74,14M 50S
74,76,14M 35S
74,78,14M 13S
74,80,13M 40S
75,80,13M 24S
76,80,13M 2S
77,80,13M 2S
77,82,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,84,10M 39S
78,84,10M 18S
81,84,9M 52S
81,86,9M 37S
81,88,9M 18S
81,91,8M 55S
81,94,8M 30S
81,97,7M 59S
84,97,7M 43S
85,97,6M 47S
86,97,6M 47S
88,97,6M 12S
91,97,5M 29S
93,97,4M 45S
93,99,4M 37S
95,99,3M 19S
95,101,2M 53S
98,101,2M 44S
99,101,2M 20S
99,104,1M 51S
102,104,40S
102,105,5S
102,106,5S
104,106,0S
End of 4th quarter,NA,0S
