Memphis,Utah,time_rem
21-22,34-11,48M 0S
0,0,48M 0S
2,0,47M 41S
2,2,47M 23S
4,2,47M 12S
5,2,46M 44S
6,2,46M 44S
7,2,46M 21S
8,2,46M 21S
8,5,46M 12S
8,7,45M 48S
8,8,45M 48S
8,11,45M 30S
11,11,44M 57S
11,12,44M 45S
11,13,44M 45S
13,13,44M 35S
13,14,44M 24S
13,15,44M 24S
13,17,43M 51S
13,20,43M 24S
13,22,42M 43S
13,23,42M 43S
15,23,42M 4S
17,23,41M 11S
17,26,40M 27S
17,28,40M 2S
19,28,39M 6S
19,30,38M 51S
19,32,37M 54S
19,35,37M 10S
19,37,36M 39S
19,38,36M 16S
19,39,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,39,35M 30S
23,39,35M 7S
25,39,34M 22S
26,39,33M 35S
27,39,33M 35S
27,41,33M 2S
29,41,32M 47S
29,43,32M 2S
31,43,31M 47S
31,45,31M 34S
33,45,31M 0S
36,45,30M 34S
36,48,30M 21S
38,48,29M 53S
38,50,29M 43S
39,50,29M 34S
40,50,29M 34S
40,52,29M 20S
40,55,29M 2S
40,58,28M 35S
41,58,28M 21S
42,58,28M 21S
42,61,28M 3S
42,63,27M 43S
44,63,27M 34S
46,63,26M 46S
46,65,26M 35S
48,65,26M 13S
50,65,25M 18S
50,67,25M 1S
53,67,24M 37S
53,70,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,73,23M 40S
55,73,23M 4S
55,74,22M 50S
58,74,22M 41S
58,77,22M 26S
58,78,22M 4S
58,79,21M 38S
58,80,21M 38S
60,80,21M 2S
60,82,20M 46S
60,85,20M 15S
60,88,19M 51S
60,90,19M 30S
63,90,19M 20S
65,90,18M 38S
66,90,18M 38S
67,90,18M 19S
67,91,18M 7S
67,92,18M 7S
67,94,17M 48S
67,96,17M 16S
69,96,17M 7S
70,96,17M 7S
70,98,16M 27S
72,98,16M 19S
74,98,16M 3S
77,98,15M 24S
79,98,14M 39S
79,100,14M 24S
80,100,12M 53S
82,100,12M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,101,11M 40S
82,104,11M 28S
84,104,11M 11S
84,107,10M 57S
87,107,10M 43S
87,109,10M 24S
87,112,9M 57S
88,112,9M 38S
89,112,9M 38S
89,114,9M 19S
89,117,8M 46S
90,117,7M 54S
91,117,7M 54S
94,117,7M 23S
94,120,6M 33S
95,120,5M 45S
96,120,5M 29S
98,120,4M 43S
98,122,4M 28S
101,122,4M 18S
102,122,3M 44S
103,122,3M 44S
105,122,2M 49S
105,124,2M 33S
105,126,1M 45S
107,126,1M 32S
109,126,50S
110,126,50S
End of 4th quarter,NA,0S
