Houston,LA Clippers,time_rem
14-38,36-18,48M 0S
0,0,47M 37S
0,3,47M 16S
0,5,46M 50S
3,5,46M 8S
3,7,45M 53S
5,7,45M 40S
5,9,45M 16S
6,9,44M 33S
6,12,44M 17S
8,12,43M 26S
9,12,43M 26S
9,14,43M 12S
11,14,42M 56S
11,17,42M 36S
14,17,42M 24S
16,17,41M 48S
16,19,41M 32S
18,19,41M 18S
20,19,40M 58S
21,19,40M 58S
23,19,40M 42S
26,19,40M 6S
28,19,39M 33S
29,19,39M 5S
30,19,39M 5S
30,21,38M 40S
30,23,38M 19S
30,24,38M 19S
Jump ball: T. Mann vs. J. Tate (A. Coffey gains possession),NA,37M 59S
30,26,37M 36S
32,26,37M 22S
34,26,36M 42S
35,26,36M 10S
36,26,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,26,34M 55S
40,26,33M 57S
40,28,33M 43S
40,31,33M 16S
40,33,32M 55S
41,33,32M 2S
41,36,31M 36S
41,39,30M 56S
43,39,30M 41S
43,42,30M 31S
43,45,30M 1S
43,47,29M 36S
43,49,28M 57S
43,51,28M 31S
43,52,28M 5S
43,53,28M 5S
44,53,27M 51S
44,55,27M 34S
Jump ball: K. Olynyk vs. T. Mann (C. Wood gains possession),NA,27M 18S
44,57,26M 57S
44,60,26M 5S
44,61,25M 25S
44,62,25M 25S
44,64,25M 1S
44,67,24M 36S
45,67,24M 3S
46,67,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,67,23M 34S
48,69,23M 13S
50,69,22M 56S
50,71,22M 41S
52,71,22M 22S
55,71,21M 22S
57,71,20M 52S
59,71,19M 37S
61,71,19M 5S
61,73,18M 40S
62,73,18M 32S
62,75,18M 15S
64,75,18M 5S
67,75,17M 10S
67,78,16M 45S
70,78,16M 33S
70,81,15M 52S
70,83,15M 24S
70,85,14M 50S
72,85,14M 41S
72,86,14M 25S
72,87,14M 25S
74,87,14M 3S
74,89,13M 53S
74,92,13M 18S
76,92,13M 2S
76,94,12M 44S
79,94,12M 29S
82,94,12M 0S
83,94,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,94,11M 47S
85,94,11M 47S
86,94,11M 47S
86,96,11M 21S
89,96,11M 12S
89,98,10M 57S
89,100,9M 54S
91,100,9M 29S
93,100,8M 18S
93,101,8M 3S
93,102,8M 3S
96,102,7M 48S
96,104,7M 25S
99,104,7M 7S
99,106,6M 52S
99,109,5M 37S
99,112,4M 53S
101,112,4M 42S
101,115,4M 16S
101,116,4M 1S
101,117,4M 1S
101,120,3M 35S
103,120,3M 21S
104,120,3M 21S
104,123,2M 58S
104,126,1M 29S
105,126,51S
106,126,51S
109,126,20S
End of 4th quarter,NA,0S
