Charlotte,New Orleans,time_rem
4-5,4-5,48M 0S
0,3,47M 36S
0,5,46M 44S
3,5,46M 13S
4,5,45M 25S
4,8,45M 15S
4,10,44M 56S
4,12,44M 25S
6,12,43M 31S
6,14,43M 16S
6,16,42M 51S
Jump ball: B. Biyombo vs. S. Adams (G. Hayward gains possession),NA,42M 27S
6,18,42M 16S
8,18,41M 43S
8,21,41M 9S
10,21,40M 56S
10,22,40M 40S
12,22,40M 23S
14,22,39M 36S
14,23,39M 16S
14,24,39M 16S
16,24,38M 59S
16,27,38M 35S
16,30,38M 11S
16,32,37M 33S
18,32,37M 9S
20,32,36M 42S
20,35,36M 28S
22,35,36M 6S
22,38,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,38,35M 39S
25,40,35M 30S
26,40,35M 13S
27,40,35M 13S
27,42,34M 23S
27,44,32M 3S
29,44,31M 40S
29,47,31M 27S
30,47,31M 8S
31,47,30M 50S
33,47,30M 40S
33,50,30M 18S
34,50,30M 8S
34,51,29M 40S
34,52,29M 40S
35,52,28M 54S
36,52,28M 54S
36,54,28M 37S
38,54,28M 6S
40,54,27M 4S
40,55,26M 31S
40,56,26M 31S
43,56,25M 43S
45,56,25M 11S
45,57,24M 53S
45,58,24M 53S
47,58,24M 39S
47,59,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,59,23M 41S
52,59,22M 53S
52,62,22M 12S
55,62,21M 49S
55,64,21M 31S
55,65,21M 31S
55,67,21M 13S
57,67,21M 3S
57,69,20M 14S
60,69,19M 54S
63,69,18M 50S
63,70,18M 25S
66,70,18M 12S
66,72,17M 51S
69,72,17M 1S
69,74,16M 40S
69,76,16M 15S
72,76,15M 13S
72,77,14M 57S
72,78,14M 57S
72,79,14M 57S
72,82,14M 31S
75,82,14M 15S
75,83,14M 5S
77,83,13M 42S
77,85,13M 22S
79,85,13M 0S
79,87,12M 50S
82,87,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,90,11M 48S
84,90,11M 21S
84,93,11M 8S
86,93,10M 50S
86,96,10M 38S
87,96,10M 7S
88,96,10M 7S
91,96,9M 42S
91,99,8M 55S
92,99,8M 39S
93,99,8M 39S
95,99,7M 56S
95,101,7M 42S
96,101,7M 31S
97,101,7M 31S
97,103,7M 16S
100,103,6M 53S
102,103,6M 19S
104,103,5M 46S
105,103,5M 46S
105,105,5M 35S
Jump ball: L. Ball vs. L. Ball (N. Alexander,Walker gains possession),4M 49S
106,105,4M 13S
109,105,3M 44S
109,106,3M 23S
109,107,3M 23S
110,107,3M 21S
111,107,3M 21S
114,107,2M 28S
116,107,1M 50S
116,109,1M 16S
116,110,57S
117,110,15S
118,110,15S
End of 4th quarter,NA,0S
