Cleveland,Chicago,time_rem
20-36,23-33,48M 0S
0,0,47M 48S
0,2,47M 7S
1,2,46M 56S
2,2,46M 56S
2,4,46M 2S
4,4,45M 44S
7,4,45M 9S
7,6,44M 47S
8,6,44M 40S
9,6,44M 40S
12,6,43M 58S
12,9,43M 35S
15,9,43M 26S
15,11,43M 4S
17,11,42M 48S
17,13,41M 52S
17,16,41M 26S
17,18,40M 45S
17,21,40M 11S
17,23,39M 41S
19,23,39M 18S
22,23,38M 11S
22,25,37M 42S
24,25,37M 26S
24,26,37M 17S
24,29,36M 39S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,32,34M 27S
26,32,34M 1S
29,32,33M 26S
29,34,33M 11S
29,35,33M 11S
31,35,31M 53S
31,37,31M 32S
33,37,30M 50S
35,37,29M 50S
35,40,29M 25S
38,40,29M 6S
38,42,28M 22S
38,44,27M 47S
38,46,27M 12S
40,46,26M 49S
42,46,26M 2S
43,46,26M 2S
45,46,25M 20S
47,46,25M 0S
49,46,24M 9S
49,47,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,49,23M 21S
49,52,22M 52S
52,52,21M 8S
52,54,20M 44S
52,55,20M 44S
52,58,20M 4S
54,58,19M 27S
54,61,19M 7S
56,61,18M 37S
58,61,18M 13S
58,63,17M 52S
58,66,17M 1S
58,69,16M 26S
59,69,16M 15S
59,70,15M 58S
59,71,15M 58S
59,73,15M 24S
59,75,14M 49S
61,75,14M 32S
63,75,13M 41S
63,78,13M 25S
66,78,13M 14S
68,78,12M 32S
68,80,12M 23S
70,80,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,80,11M 33S
75,80,10M 44S
77,80,10M 7S
77,82,9M 39S
79,82,9M 5S
79,84,8M 42S
79,86,8M 11S
79,89,7M 37S
82,89,7M 21S
82,92,7M 3S
84,92,6M 43S
86,92,6M 17S
88,92,5M 35S
88,94,5M 20S
90,94,5M 6S
90,95,3M 55S
90,96,3M 55S
93,96,3M 23S
93,99,2M 30S
93,102,1M 49S
93,104,1M 16S
93,106,56S
96,106,32S
End of 4th quarter,NA,0S
