Golden State,Utah,time_rem
8-8,12-4,48M 0S
0,3,47M 42S
0,6,47M 6S
0,9,46M 42S
0,11,46M 15S
0,14,45M 54S
2,14,45M 33S
2,16,44M 57S
2,19,43M 47S
5,19,43M 9S
5,22,42M 53S
8,22,42M 39S
10,22,42M 18S
10,24,41M 59S
12,24,41M 43S
12,27,40M 32S
14,27,40M 18S
17,27,39M 31S
17,30,39M 13S
20,30,38M 52S
20,32,38M 36S
22,32,38M 24S
22,34,38M 2S
24,34,37M 50S
24,36,37M 32S
26,36,37M 19S
28,36,36M 56S
28,37,36M 27S
28,39,36M 9S
30,39,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,39,35M 49S
33,39,35M 49S
33,41,34M 55S
33,43,34M 7S
33,44,33M 52S
33,45,33M 52S
35,45,32M 54S
35,48,32M 35S
35,49,32M 6S
36,49,31M 43S
36,51,31M 20S
38,51,31M 6S
38,52,30M 43S
38,53,30M 43S
39,53,30M 30S
39,55,30M 19S
39,57,29M 59S
39,58,29M 13S
39,60,28M 39S
41,60,28M 27S
43,60,27M 53S
43,63,27M 36S
46,63,27M 21S
46,64,27M 9S
46,65,27M 9S
46,67,26M 48S
46,69,26M 28S
47,69,26M 5S
47,71,25M 17S
47,74,24M 29S
47,77,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,79,23M 23S
50,79,22M 59S
52,79,22M 15S
52,80,22M 3S
52,81,22M 3S
54,81,21M 34S
54,84,21M 25S
56,84,21M 14S
56,87,21M 0S
58,87,20M 40S
58,88,20M 13S
58,89,20M 13S
58,91,19M 9S
61,91,18M 17S
63,91,17M 45S
63,94,17M 24S
66,94,17M 11S
66,95,16M 54S
66,98,16M 25S
68,98,15M 46S
69,98,15M 46S
69,100,15M 10S
69,103,14M 20S
72,103,14M 0S
72,106,12M 38S
72,108,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,110,11M 45S
72,112,10M 44S
75,112,10M 34S
75,115,10M 5S
77,115,9M 26S
79,115,8M 51S
79,117,8M 33S
80,117,8M 21S
81,117,8M 21S
83,117,7M 34S
85,117,7M 5S
88,117,6M 37S
90,117,4M 48S
92,117,4M 30S
92,119,4M 18S
95,119,4M 8S
95,122,3M 17S
95,123,2M 15S
95,124,2M 15S
98,124,2M 7S
101,124,1M 38S
103,124,1M 26S
104,124,1M 3S
105,124,1M 3S
106,124,1M 3S
106,126,45S
108,126,38S
108,127,3S
End of 4th quarter,NA,0S
