New Orleans,Brooklyn,time_rem
22-29,36-16,48M 0S
0,0,47M 48S
2,0,47M 42S
2,2,47M 19S
4,2,47M 5S
6,2,46M 8S
6,5,45M 52S
6,8,45M 34S
8,8,45M 15S
8,9,45M 5S
8,10,45M 5S
10,10,44M 46S
12,10,44M 25S
12,11,44M 9S
12,12,44M 9S
12,15,43M 33S
13,15,43M 12S
14,15,43M 12S
16,15,42M 50S
16,17,42M 38S
16,19,41M 38S
16,21,41M 8S
17,21,40M 50S
18,21,40M 50S
18,23,40M 23S
18,24,40M 23S
21,24,40M 6S
22,24,39M 31S
23,24,39M 31S
23,27,38M 51S
26,27,38M 35S
26,29,37M 56S
26,30,37M 40S
26,31,37M 40S
28,31,37M 30S
28,33,37M 14S
30,33,37M 3S
32,33,36M 33S
33,33,36M 5S
33,36,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,38,35M 44S
35,38,35M 27S
35,41,35M 15S
35,42,34M 50S
35,43,34M 50S
37,43,34M 34S
37,45,34M 22S
39,45,33M 27S
39,47,33M 7S
40,47,32M 54S
40,50,32M 33S
41,50,32M 19S
42,50,32M 19S
42,53,32M 4S
44,53,31M 50S
44,56,31M 25S
46,56,30M 58S
46,58,30M 42S
48,58,29M 33S
50,58,29M 10S
50,59,28M 42S
50,60,28M 42S
50,61,28M 42S
50,63,28M 18S
52,63,28M 0S
52,66,27M 47S
53,66,27M 31S
54,66,27M 31S
54,68,27M 11S
54,70,26M 36S
54,72,26M 20S
55,72,26M 11S
56,72,26M 11S
59,72,25M 27S
59,75,25M 15S
59,76,24M 5S
59,77,24M 5S
59,78,24M 1S
59,79,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,82,23M 16S
59,84,22M 41S
62,84,22M 26S
62,86,22M 7S
63,86,21M 48S
64,86,21M 48S
65,86,21M 23S
66,86,21M 23S
66,88,21M 4S
68,88,20M 36S
68,91,20M 21S
68,94,19M 51S
70,94,19M 33S
Jump ball: S. Adams vs. L. Aldridge (N. Marshall gains possession),NA,19M 4S
70,96,18M 52S
70,98,17M 42S
72,98,17M 28S
72,101,17M 10S
74,101,16M 58S
74,103,16M 40S
74,106,15M 37S
74,108,15M 12S
75,108,14M 30S
76,108,14M 30S
76,111,14M 9S
78,111,13M 29S
78,112,13M 29S
78,113,13M 29S
79,113,13M 13S
80,113,13M 13S
80,115,12M 45S
82,115,12M 39S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,117,11M 36S
82,120,10M 34S
84,120,10M 23S
85,120,10M 23S
87,120,9M 57S
89,120,8M 40S
89,122,8M 26S
89,124,7M 58S
92,124,7M 47S
92,126,7M 7S
92,128,6M 51S
94,128,5M 47S
95,128,5M 19S
96,128,5M 19S
96,130,4M 59S
98,130,4M 53S
98,132,4M 29S
100,132,4M 11S
101,132,3M 28S
101,134,2M 50S
102,134,2M 30S
104,134,2M 21S
106,134,2M 4S
106,136,1M 42S
107,136,1M 25S
108,136,1M 25S
108,139,30S
111,139,23S
End of 4th quarter,NA,0S
