Phoenix,San Antonio,time_rem
51-21,33-39,48M 0S
0,0,47M 43S
0,1,47M 43S
2,1,47M 31S
2,3,47M 8S
4,3,46M 47S
4,5,46M 12S
6,5,45M 30S
9,5,44M 36S
11,5,44M 14S
13,5,43M 48S
13,7,43M 11S
16,7,42M 50S
16,8,42M 37S
19,8,42M 23S
19,9,41M 48S
19,10,41M 48S
19,12,40M 51S
21,12,40M 36S
21,14,40M 15S
23,14,38M 27S
23,16,38M 8S
23,19,37M 7S
25,19,36M 53S
25,21,36M 42S
27,21,36M 31S
27,23,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,23,35M 14S
29,24,34M 55S
29,25,34M 55S
29,27,34M 36S
31,27,34M 25S
33,27,34M 6S
33,29,33M 49S
33,31,33M 30S
33,33,33M 7S
36,33,32M 53S
36,36,32M 32S
38,36,32M 16S
38,39,31M 56S
38,41,31M 26S
38,43,31M 2S
40,43,30M 28S
40,45,30M 11S
40,46,30M 11S
40,48,29M 32S
43,48,29M 17S
43,50,28M 56S
43,51,28M 35S
43,53,28M 27S
43,55,27M 46S
45,55,27M 3S
47,55,26M 17S
47,57,25M 51S
48,57,25M 43S
49,57,25M 43S
49,59,25M 0S
52,59,24M 46S
52,61,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,61,23M 37S
56,61,22M 59S
56,63,22M 46S
59,63,22M 36S
61,63,21M 48S
61,64,21M 34S
61,65,21M 34S
63,65,21M 20S
63,67,20M 54S
65,67,20M 31S
65,69,20M 14S
68,69,19M 58S
70,69,19M 30S
70,71,19M 16S
72,71,17M 54S
74,71,17M 33S
76,71,17M 6S
78,71,16M 12S
78,74,15M 54S
80,74,15M 39S
80,77,15M 26S
83,77,15M 9S
83,79,14M 36S
85,79,14M 14S
85,81,14M 3S
87,81,13M 26S
89,81,12M 56S
89,83,12M 41S
89,85,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,85,11M 36S
93,85,11M 9S
93,87,10M 56S
93,90,10M 40S
95,90,10M 12S
95,92,10M 0S
97,92,9M 41S
97,94,9M 13S
99,94,8M 51S
99,96,8M 39S
99,97,8M 39S
101,97,8M 30S
102,97,7M 56S
103,97,7M 56S
105,97,7M 10S
105,99,6M 52S
108,99,6M 30S
108,101,6M 2S
111,101,5M 53S
111,103,5M 36S
113,103,5M 21S
113,104,5M 0S
113,105,5M 0S
113,107,4M 42S
115,107,4M 27S
115,109,4M 15S
117,109,4M 3S
117,111,3M 20S
117,113,2M 45S
117,116,1M 38S
117,118,1M 18S
120,118,1M 8S
120,119,11S
120,121,10S
123,121,2S
End of 4th quarter,NA,0S
