Portland,Minnesota,time_rem
22-15,8-30,48M 0S
0,0,47M 42S
2,0,47M 31S
2,2,47M 21S
2,4,46M 26S
5,4,46M 1S
7,4,45M 37S
8,4,45M 37S
8,6,45M 17S
10,6,44M 57S
10,8,44M 43S
12,8,44M 28S
13,8,44M 3S
14,8,44M 3S
16,8,43M 13S
16,10,42M 58S
18,10,42M 47S
18,12,42M 19S
20,12,41M 24S
20,15,40M 59S
22,15,40M 41S
23,15,40M 24S
24,15,40M 24S
26,15,39M 9S
28,15,38M 38S
28,17,38M 9S
30,17,37M 52S
30,20,37M 40S
30,21,37M 17S
30,22,37M 17S
33,22,37M 2S
33,24,36M 49S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,24,35M 10S
35,24,35M 10S
35,27,35M 1S
37,27,34M 39S
39,27,34M 2S
39,28,33M 44S
39,29,33M 44S
41,29,33M 27S
41,30,33M 16S
41,31,33M 2S
44,31,32M 43S
44,33,32M 29S
44,34,32M 29S
45,34,32M 13S
46,34,32M 13S
46,36,31M 53S
47,36,31M 30S
48,36,31M 30S
48,38,31M 16S
49,38,31M 6S
50,38,31M 6S
50,39,30M 38S
50,40,30M 38S
52,40,30M 12S
52,41,30M 1S
52,43,29M 33S
52,45,28M 23S
55,45,28M 3S
57,45,27M 42S
58,45,27M 42S
58,46,27M 27S
58,47,27M 27S
58,50,26M 46S
58,51,26M 25S
60,51,26M 11S
60,53,25M 47S
61,53,25M 31S
61,55,24M 59S
62,55,24M 49S
63,55,24M 49S
63,57,24M 37S
66,57,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,58,23M 33S
66,59,23M 33S
68,59,22M 59S
68,60,22M 46S
68,61,22M 46S
71,61,22M 33S
71,64,22M 15S
73,64,21M 25S
75,64,20M 55S
76,64,20M 55S
76,66,20M 41S
76,68,20M 19S
76,69,19M 45S
76,72,19M 14S
76,74,18M 14S
76,76,17M 48S
77,76,17M 21S
78,76,17M 21S
80,76,16M 55S
83,76,16M 17S
83,78,15M 59S
85,78,15M 51S
85,81,15M 10S
87,81,14M 50S
87,83,14M 30S
89,83,14M 19S
89,85,14M 10S
91,85,13M 46S
91,87,13M 28S
91,89,13M 6S
93,89,12M 40S
93,90,12M 32S
93,91,12M 32S
93,94,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,97,10M 7S
95,97,9M 46S
95,99,9M 31S
98,99,9M 14S
98,101,8M 56S
101,101,8M 38S
102,101,7M 48S
103,101,7M 48S
106,101,7M 26S
106,103,7M 3S
109,103,6M 44S
109,105,6M 27S
109,107,5M 13S
112,107,5M 0S
112,109,4M 13S
115,109,3M 54S
115,112,3M 33S
116,112,3M 16S
116,113,2M 36S
116,115,2M 27S
118,115,2M 8S
120,115,1M 13S
120,116,1M 1S
120,117,1M 1S
122,117,43S
123,117,27S
123,119,14S
124,119,13S
125,119,13S
125,121,4S
End of 4th quarter,NA,0S
