New York,Orlando,time_rem
14-16,11-18,48M 0S
2,0,47M 40S
2,3,47M 3S
4,3,46M 39S
4,5,46M 19S
6,5,45M 53S
8,5,45M 8S
8,8,44M 32S
10,8,44M 16S
10,10,43M 54S
10,12,43M 35S
12,12,43M 21S
12,15,43M 8S
14,15,42M 56S
14,17,42M 36S
17,17,42M 25S
19,17,41M 49S
21,17,40M 10S
22,17,39M 56S
22,19,39M 48S
25,19,39M 38S
28,19,38M 58S
29,19,37M 56S
30,19,37M 56S
30,21,37M 15S
31,21,37M 0S
32,21,37M 0S
32,23,36M 43S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,25,35M 45S
34,25,35M 28S
34,28,35M 4S
34,31,34M 43S
35,31,34M 30S
36,31,34M 30S
36,34,33M 27S
36,36,32M 54S
36,37,32M 54S
38,37,32M 36S
38,39,31M 17S
40,39,31M 3S
40,41,30M 45S
42,41,30M 30S
43,41,30M 30S
43,44,29M 44S
45,44,29M 2S
45,46,28M 24S
46,46,27M 51S
46,48,27M 31S
48,48,27M 19S
Jump ball: N. Vučević vs. N. Noel (T. Ross gains possession),NA,27M 3S
50,48,26M 18S
50,51,26M 5S
52,51,25M 49S
54,51,25M 5S
55,51,24M 41S
56,51,24M 41S
56,53,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,55,23M 42S
58,55,22M 57S
60,55,22M 31S
60,58,22M 12S
62,58,21M 49S
62,59,21M 29S
62,61,20M 3S
62,64,19M 33S
65,64,19M 11S
65,67,18M 51S
67,67,18M 14S
68,67,18M 14S
68,69,18M 3S
68,71,17M 30S
68,72,17M 7S
68,73,17M 7S
68,76,16M 12S
70,76,15M 28S
70,78,14M 32S
70,81,12M 45S
70,83,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,83,10M 6S
72,83,10M 6S
Jump ball: I. Quickley vs. C. Randle (O. Toppin gains possession),NA,9M 49S
72,84,9M 2S
72,85,9M 2S
72,86,9M 2S
72,89,8M 30S
74,89,8M 1S
74,91,6M 44S
77,91,6M 29S
80,91,6M 5S
81,91,6M 4S
81,93,5M 47S
81,96,5M 23S
81,98,3M 58S
83,98,3M 38S
85,98,2M 52S
85,100,2M 37S
85,102,2M 19S
86,102,1M 29S
89,102,1M 19S
89,105,1M 2S
89,107,37S
End of 4th quarter,NA,0S
