Indiana,Miami,time_rem
19-22,22-21,48M 0S
3,0,47M 42S
3,2,46M 49S
6,2,45M 38S
6,4,45M 4S
6,6,44M 40S
7,6,44M 30S
7,7,44M 18S
7,8,44M 18S
9,8,44M 0S
9,9,43M 48S
9,10,43M 48S
12,10,43M 34S
12,12,43M 15S
12,15,42M 46S
15,15,41M 22S
17,15,40M 43S
18,15,40M 43S
21,15,40M 14S
21,17,39M 59S
24,17,39M 20S
24,19,39M 2S
25,19,38M 49S
26,19,38M 49S
26,21,38M 14S
28,21,37M 27S
28,24,37M 10S
30,24,36M 51S
30,26,36M 39S
32,26,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,28,35M 51S
34,28,34M 35S
34,30,34M 25S
34,31,34M 25S
35,31,34M 18S
36,31,34M 18S
36,33,34M 0S
36,34,34M 0S
36,37,33M 39S
38,37,32M 52S
38,39,32M 37S
40,39,32M 33S
40,41,32M 15S
42,41,31M 43S
44,41,30M 46S
44,43,30M 27S
47,43,29M 23S
50,43,28M 37S
50,45,28M 26S
51,45,28M 12S
52,45,27M 53S
53,45,27M 53S
53,46,27M 10S
53,47,27M 10S
54,47,26M 28S
55,47,26M 28S
57,47,26M 5S
57,49,25M 41S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,50,22M 24S
57,51,22M 24S
57,53,21M 34S
57,54,21M 34S
57,56,20M 48S
57,58,20M 2S
58,58,19M 47S
59,58,19M 47S
61,58,18M 28S
61,60,17M 58S
64,60,17M 45S
64,63,17M 28S
Jump ball: M. Turner vs. K. Olynyk (T. McConnell gains possession),NA,16M 37S
67,63,16M 32S
67,64,16M 16S
67,65,16M 16S
69,65,15M 54S
69,68,15M 38S
72,68,15M 22S
72,70,14M 49S
74,70,13M 48S
76,70,13M 22S
79,70,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,72,10M 47S
81,72,10M 36S
83,72,9M 24S
83,75,9M 10S
83,77,8M 30S
83,79,8M 8S
83,80,8M 8S
85,80,7M 40S
86,80,7M 1S
87,80,7M 1S
87,81,6M 40S
87,84,6M 34S
89,84,5M 44S
91,84,5M 25S
92,84,5M 25S
92,86,5M 4S
93,86,4M 47S
94,86,4M 47S
94,87,4M 26S
94,88,4M 26S
94,90,3M 48S
96,90,3M 4S
96,92,2M 19S
98,92,1M 34S
98,95,1M 30S
98,97,1M 5S
98,98,12S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Sabonis vs. B. Adebayo (J. Butler gains possession),NA,5M 0S
98,100,4M 1S
98,103,3M 40S
101,103,3M 9S
104,103,2M 32S
107,103,1M 7S
107,105,1M 2S
107,106,1M 2S
109,106,48S
End of 1st overtime,NA,0S
