Memphis,Houston,time_rem
22-22,13-33,48M 0S
0,0,47M 44S
1,0,47M 44S
1,2,47M 22S
1,4,46M 37S
3,4,46M 20S
3,6,45M 27S
5,6,45M 13S
5,8,44M 17S
6,8,44M 2S
7,8,44M 2S
9,8,43M 32S
9,11,43M 24S
11,11,43M 5S
13,11,42M 19S
13,12,42M 5S
15,12,41M 48S
15,13,40M 42S
15,14,40M 42S
15,15,40M 6S
15,16,40M 6S
15,17,40M 6S
15,20,39M 39S
15,21,39M 15S
15,22,39M 15S
15,24,38M 41S
15,25,38M 41S
15,27,38M 16S
17,27,38M 1S
20,27,37M 36S
23,27,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,30,35M 8S
25,30,34M 46S
25,33,34M 23S
27,33,33M 44S
29,33,33M 11S
31,33,33M 10S
32,33,33M 10S
32,35,32M 40S
33,35,32M 29S
33,37,32M 15S
33,40,31M 23S
33,42,30M 57S
35,42,30M 48S
36,42,30M 48S
38,42,30M 25S
40,42,29M 57S
41,42,29M 57S
43,42,29M 49S
45,42,29M 18S
46,42,29M 0S
47,42,29M 0S
47,45,28M 45S
47,47,28M 29S
47,48,28M 5S
47,49,28M 5S
48,49,27M 31S
48,51,26M 46S
51,51,26M 31S
51,53,26M 18S
54,53,25M 53S
55,53,25M 23S
55,55,25M 14S
55,57,24M 45S
57,57,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,57,22M 54S
59,59,22M 47S
59,61,22M 30S
59,63,21M 55S
59,64,21M 30S
59,65,21M 30S
62,65,20M 53S
64,65,20M 5S
64,67,19M 46S
66,67,19M 32S
66,69,19M 19S
66,71,18M 55S
66,72,18M 55S
66,75,18M 25S
68,75,18M 5S
68,77,17M 43S
68,78,17M 43S
70,78,17M 26S
70,80,16M 43S
73,80,16M 27S
75,80,16M 3S
77,80,15M 24S
77,82,15M 8S
80,82,14M 53S
80,84,14M 39S
80,87,14M 9S
80,89,13M 45S
81,89,13M 28S
82,89,13M 28S
85,89,13M 2S
88,89,12M 39S
90,89,12M 19S
90,91,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,93,10M 50S
92,93,10M 5S
93,93,10M 5S
93,96,9M 47S
95,96,9M 25S
96,96,9M 25S
98,96,8M 59S
98,99,8M 28S
100,99,8M 12S
100,101,7M 59S
103,101,7M 51S
105,101,7M 29S
105,103,7M 17S
105,104,7M 17S
107,104,5M 53S
110,104,5M 28S
110,105,4M 58S
110,106,4M 58S
112,106,3M 51S
114,106,2M 32S
Jump ball: J. Morant vs. J. Tate (B. Clarke gains possession),NA,1M 55S
114,107,1M 37S
116,107,1M 22S
116,110,1M 2S
118,110,36S
Jump ball: D. Melton vs. D. House (D. Brooks gains possession),NA,29S
119,110,25S
120,110,25S
End of 4th quarter,NA,0S
