New Orleans,Sacramento,time_rem
5-7,5-9,48M 0S
0,2,47M 52S
0,5,47M 10S
2,5,46M 45S
2,7,45M 36S
4,7,44M 57S
6,7,44M 16S
8,7,43M 54S
10,7,43M 10S
12,7,42M 39S
12,9,42M 19S
12,11,41M 47S
12,13,41M 18S
14,13,41M 0S
14,16,40M 44S
16,16,40M 31S
16,18,40M 8S
18,18,39M 28S
19,18,38M 43S
20,18,38M 43S
20,19,38M 29S
20,20,38M 29S
22,20,38M 15S
24,20,37M 50S
25,20,37M 50S
25,22,37M 31S
26,22,37M 20S
27,22,37M 20S
27,24,37M 9S
29,24,36M 58S
29,25,36M 43S
31,25,36M 25S
34,25,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,25,35M 47S
37,25,35M 18S
37,27,35M 5S
39,27,34M 39S
42,27,34M 8S
42,30,33M 57S
44,30,33M 38S
44,32,33M 24S
46,32,33M 10S
49,32,32M 49S
49,34,32M 36S
51,34,32M 9S
53,34,31M 38S
53,35,31M 31S
53,37,31M 11S
53,40,30M 41S
53,42,30M 19S
53,43,30M 19S
54,43,30M 6S
55,43,30M 6S
55,45,29M 46S
55,47,29M 35S
58,47,29M 10S
58,49,28M 35S
Jump ball: S. Adams vs. R. Holmes (Z. Williamson gains possession),NA,28M 13S
58,51,27M 58S
60,51,27M 42S
61,51,27M 8S
62,51,27M 8S
62,54,26M 47S
64,54,26M 32S
64,56,26M 4S
67,56,25M 48S
67,58,25M 37S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,60,23M 12S
69,60,22M 57S
69,63,22M 32S
71,63,22M 12S
73,63,21M 2S
75,63,20M 41S
75,65,20M 20S
78,65,19M 57S
78,67,19M 37S
80,67,19M 13S
80,69,19M 12S
83,69,18M 55S
83,71,18M 36S
84,71,18M 17S
84,74,18M 6S
87,74,17M 57S
90,74,17M 34S
90,75,17M 13S
90,76,17M 13S
93,76,16M 52S
93,79,16M 34S
93,81,16M 7S
95,81,15M 26S
95,82,13M 55S
95,83,13M 55S
95,84,13M 55S
95,86,13M 25S
95,89,13M 0S
95,91,12M 28S
97,91,12M 8S
97,94,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,94,11M 29S
100,95,11M 13S
100,96,11M 13S
102,96,10M 46S
102,97,10M 31S
102,98,10M 31S
104,98,10M 13S
106,98,9M 29S
107,98,9M 29S
107,100,9M 15S
108,100,9M 2S
109,100,9M 2S
110,100,9M 2S
110,103,8M 47S
112,103,8M 25S
112,105,8M 13S
114,105,6M 23S
114,106,6M 9S
114,107,6M 9S
115,107,5M 56S
115,110,5M 43S
116,110,5M 0S
116,113,3M 49S
116,115,3M 18S
117,115,3M 16S
118,115,3M 16S
119,115,2M 50S
120,115,2M 50S
122,115,2M 16S
122,117,2M 0S
122,119,1M 20S
123,119,17S
124,119,17S
124,121,13S
125,121,10S
126,121,10S
126,123,6S
127,123,5S
128,123,5S
End of 4th quarter,NA,0S
