Chicago,Indiana,time_rem
21-28,22-27,48M 0S
0,0,47M 42S
2,0,46M 55S
2,2,46M 40S
4,2,46M 22S
4,4,46M 1S
4,6,44M 57S
7,6,44M 40S
7,9,44M 22S
8,9,44M 5S
8,11,43M 57S
9,11,43M 50S
9,13,42M 41S
11,13,41M 57S
14,13,41M 29S
14,15,41M 15S
16,15,40M 54S
16,18,40M 38S
16,19,40M 13S
16,21,39M 42S
19,21,39M 25S
19,22,39M 13S
19,23,39M 13S
20,23,39M 6S
21,23,39M 6S
21,24,38M 28S
23,24,38M 18S
23,26,38M 9S
25,26,37M 57S
26,26,37M 57S
27,26,36M 51S
28,26,36M 51S
28,28,36M 35S
30,28,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,30,35M 38S
32,30,35M 15S
34,30,34M 38S
36,30,33M 57S
39,30,33M 36S
39,33,33M 16S
41,33,32M 18S
43,33,31M 44S
45,33,31M 16S
45,36,30M 45S
45,37,30M 18S
45,38,30M 18S
45,40,29M 57S
48,40,29M 18S
48,42,28M 51S
50,42,27M 39S
53,42,27M 18S
53,43,26M 59S
56,43,26M 41S
58,43,25M 58S
58,44,25M 52S
58,47,25M 5S
59,47,24M 45S
59,49,24M 30S
62,49,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,49,23M 49S
67,49,23M 23S
69,49,22M 58S
69,51,22M 43S
69,53,21M 21S
69,55,20M 36S
69,56,20M 36S
71,56,20M 26S
71,58,19M 49S
73,58,19M 27S
73,61,19M 10S
76,61,18M 46S
76,63,18M 14S
78,63,18M 0S
78,66,17M 43S
81,66,17M 14S
81,68,17M 6S
81,70,16M 24S
83,70,16M 8S
85,70,15M 40S
88,70,15M 11S
90,70,14M 1S
90,71,13M 46S
90,72,13M 46S
92,72,13M 29S
92,74,12M 47S
94,74,12M 33S
97,74,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,76,11M 48S
97,77,11M 45S
97,79,11M 22S
97,81,10M 49S
97,84,9M 45S
100,84,9M 31S
102,84,9M 1S
102,86,8M 17S
102,88,7M 50S
104,88,5M 36S
105,88,5M 36S
105,91,5M 21S
107,91,5M 0S
109,91,4M 24S
109,93,4M 14S
110,93,3M 51S
111,93,3M 51S
111,95,1M 52S
113,95,1M 40S
113,97,1M 28S
End of 4th quarter,NA,0S
