New Orleans,Dallas,time_rem
31-39,41-29,48M 0S
0,0,47M 37S
0,2,47M 18S
0,3,47M 18S
3,3,47M 5S
3,4,45M 52S
3,5,45M 52S
5,5,45M 37S
7,5,45M 18S
8,5,45M 18S
8,7,45M 7S
10,7,44M 52S
10,9,44M 14S
11,9,44M 1S
11,11,43M 37S
13,11,43M 20S
14,11,43M 6S
14,13,42M 50S
14,15,42M 22S
14,17,42M 11S
14,20,41M 35S
16,20,41M 12S
16,22,40M 56S
17,22,40M 49S
19,22,40M 45S
19,24,40M 31S
22,24,40M 20S
22,25,39M 31S
22,26,39M 31S
23,26,39M 4S
24,26,39M 4S
24,27,38M 56S
25,27,38M 34S
26,27,38M 34S
26,30,38M 10S
28,30,37M 49S
30,30,36M 53S
30,32,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,35,35M 46S
30,37,35M 9S
30,39,34M 43S
30,42,34M 23S
32,42,34M 2S
32,44,33M 49S
32,46,33M 17S
32,47,33M 17S
33,47,33M 4S
35,47,32M 29S
35,50,32M 23S
35,53,31M 59S
35,56,31M 27S
35,58,30M 52S
37,58,30M 35S
37,60,30M 10S
37,61,30M 10S
38,61,29M 57S
38,63,29M 39S
40,63,29M 14S
43,63,28M 50S
45,63,28M 20S
46,63,28M 20S
46,65,28M 5S
46,66,27M 21S
49,66,27M 9S
49,68,26M 46S
49,71,26M 20S
51,71,26M 12S
53,71,25M 41S
55,71,25M 16S
55,74,25M 1S
55,77,24M 33S
56,77,24M 30S
58,77,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,79,23M 47S
60,79,23M 19S
60,81,23M 2S
62,81,22M 47S
62,84,22M 31S
62,87,21M 46S
64,87,21M 26S
65,87,21M 0S
66,87,21M 0S
66,89,20M 46S
66,91,20M 26S
66,93,19M 49S
68,93,19M 30S
70,93,19M 6S
71,93,19M 6S
72,93,18M 18S
72,94,18M 4S
72,95,18M 4S
73,95,17M 55S
75,95,16M 43S
76,95,16M 43S
76,98,16M 18S
76,100,15M 37S
76,102,15M 4S
76,104,14M 41S
77,104,14M 4S
78,104,14M 4S
78,105,13M 47S
78,106,13M 47S
78,107,13M 31S
78,108,13M 31S
79,108,12M 50S
80,108,12M 50S
80,111,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,111,11M 21S
86,111,10M 51S
88,111,9M 58S
89,111,9M 58S
90,111,9M 30S
91,111,9M 30S
91,113,9M 0S
91,116,8M 25S
93,116,7M 18S
93,118,7M 1S
95,118,6M 21S
95,119,5M 5S
97,119,2M 55S
100,119,2M 22S
100,121,2M 0S
101,121,1M 49S
102,121,1M 49S
102,123,1M 36S
103,123,1M 28S
105,123,55S
105,125,40S
107,125,34S
End of 4th quarter,NA,0S
