LA Clippers,Houston,time_rem
47-24,17-54,48M 0S
0,2,47M 40S
3,2,47M 14S
3,5,47M 7S
6,5,46M 51S
6,7,46M 19S
8,7,46M 4S
11,7,45M 44S
11,10,45M 34S
14,10,44M 57S
16,10,44M 27S
18,10,43M 54S
18,12,43M 41S
20,12,42M 37S
20,14,42M 13S
21,14,41M 57S
22,14,41M 57S
23,14,41M 4S
25,14,41M 0S
25,16,40M 49S
25,17,40M 49S
27,17,40M 34S
27,19,39M 16S
27,21,38M 44S
30,21,38M 32S
30,23,38M 22S
30,25,37M 38S
30,28,37M 15S
32,28,36M 57S
33,28,36M 57S
33,30,36M 39S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,30,35M 44S
35,33,35M 29S
37,33,35M 8S
37,35,34M 49S
37,36,34M 30S
37,37,34M 30S
39,37,34M 10S
42,37,33M 45S
42,40,33M 32S
44,40,33M 16S
44,43,33M 7S
45,43,32M 50S
46,43,32M 50S
46,45,32M 20S
48,45,31M 53S
48,48,31M 33S
48,51,31M 5S
50,51,29M 44S
52,51,29M 29S
52,54,29M 15S
52,57,28M 13S
55,57,27M 59S
57,57,27M 37S
57,60,27M 24S
59,60,27M 5S
59,62,26M 53S
59,63,26M 18S
59,64,26M 18S
61,64,26M 2S
61,66,25M 21S
63,66,25M 6S
63,68,24M 42S
64,68,24M 33S
65,68,24M 33S
65,71,24M 30S
67,71,24M 13S
67,73,24M 3S
69,73,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,74,23M 30S
69,75,23M 30S
69,77,22M 43S
71,77,21M 7S
72,77,21M 7S
72,79,20M 56S
75,79,20M 36S
75,81,20M 29S
77,81,20M 11S
77,83,19M 56S
79,83,19M 45S
79,84,19M 9S
79,85,19M 9S
81,85,18M 53S
81,88,18M 17S
84,88,17M 57S
84,91,17M 48S
84,93,17M 11S
84,95,16M 29S
84,97,16M 9S
86,97,16M 0S
86,99,15M 46S
86,101,14M 23S
86,103,13M 59S
88,103,13M 39S
91,103,13M 7S
93,103,12M 32S
93,105,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,105,11M 34S
95,106,11M 18S
95,108,10M 36S
97,108,9M 57S
97,110,9M 21S
97,112,8M 32S
98,112,8M 18S
99,112,8M 18S
101,112,7M 55S
104,112,6M 16S
106,112,5M 49S
107,112,5M 49S
107,114,5M 31S
107,115,5M 7S
107,116,5M 7S
107,117,4M 2S
107,119,3M 40S
109,119,2M 7S
109,120,1M 50S
111,120,1M 32S
111,121,1M 12S
111,122,1M 12S
112,122,59S
113,122,59S
115,122,28S
End of 4th quarter,NA,0S
